file,x,y,w,h
../Imagens/UnetDataset/caneca\results_pos\0_predict_resized.png,43,51,149,184
../Imagens/UnetDataset/caneca\results_pos\100_predict_resized.png,24,92,134,145
../Imagens/UnetDataset/caneca\results_pos\101_predict_resized.png,46,76,148,160
../Imagens/UnetDataset/caneca\results_pos\102_predict_resized.png,19,100,164,174
../Imagens/UnetDataset/caneca\results_pos\103_predict_resized.png,32,134,128,133
../Imagens/UnetDataset/caneca\results_pos\104_predict_resized.png,24,94,164,174
../Imagens/UnetDataset/caneca\results_pos\105_predict_resized.png,57,103,106,139
../Imagens/UnetDataset/caneca\results_pos\106_predict_resized.png,29,87,129,163
../Imagens/UnetDataset/caneca\results_pos\107_predict_resized.png,39,159,5,15
../Imagens/UnetDataset/caneca\results_pos\108_predict_resized.png,43,51,149,185
../Imagens/UnetDataset/caneca\results_pos\109_predict_resized.png,38,66,142,183
../Imagens/UnetDataset/caneca\results_pos\10_predict_resized.png,35,59,130,169
../Imagens/UnetDataset/caneca\results_pos\110_predict_resized.png,42,66,135,175
../Imagens/UnetDataset/caneca\results_pos\111_predict_resized.png,46,115,122,140
../Imagens/UnetDataset/caneca\results_pos\112_predict_resized.png,50,129,112,126
../Imagens/UnetDataset/caneca\results_pos\113_predict_resized.png,46,119,110,124
../Imagens/UnetDataset/caneca\results_pos\114_predict_resized.png,41,71,136,162
../Imagens/UnetDataset/caneca\results_pos\115_predict_resized.png,48,95,122,148
../Imagens/UnetDataset/caneca\results_pos\116_predict_resized.png,42,77,130,157
../Imagens/UnetDataset/caneca\results_pos\117_predict_resized.png,45,65,133,175
../Imagens/UnetDataset/caneca\results_pos\118_predict_resized.png,35,55,130,173
../Imagens/UnetDataset/caneca\results_pos\119_predict_resized.png,43,67,124,161
../Imagens/UnetDataset/caneca\results_pos\11_predict_resized.png,42,69,125,159
../Imagens/UnetDataset/caneca\results_pos\120_predict_resized.png,28,72,152,157
../Imagens/UnetDataset/caneca\results_pos\121_predict_resized.png,43,92,139,149
../Imagens/UnetDataset/caneca\results_pos\122_predict_resized.png,40,48,150,169
../Imagens/UnetDataset/caneca\results_pos\123_predict_resized.png,25,51,147,185
../Imagens/UnetDataset/caneca\results_pos\124_predict_resized.png,18,37,126,172
../Imagens/UnetDataset/caneca\results_pos\125_predict_resized.png,47,51,141,175
../Imagens/UnetDataset/caneca\results_pos\126_predict_resized.png,20,46,165,205
../Imagens/UnetDataset/caneca\results_pos\127_predict_resized.png,58,218,16,25
../Imagens/UnetDataset/caneca\results_pos\128_predict_resized.png,23,28,164,211
../Imagens/UnetDataset/caneca\results_pos\129_predict_resized.png,195,132,23,85
../Imagens/UnetDataset/caneca\results_pos\12_predict_resized.png,28,72,141,157
../Imagens/UnetDataset/caneca\results_pos\130_predict_resized.png,195,125,27,83
../Imagens/UnetDataset/caneca\results_pos\131_predict_resized.png,188,121,25,78
../Imagens/UnetDataset/caneca\results_pos\132_predict_resized.png,32,54,141,239
../Imagens/UnetDataset/caneca\results_pos\133_predict_resized.png,17,168,16,10
../Imagens/UnetDataset/caneca\results_pos\134_predict_resized.png,109,252,2,6
../Imagens/UnetDataset/caneca\results_pos\135_predict_resized.png,51,89,127,149
../Imagens/UnetDataset/caneca\results_pos\136_predict_resized.png,45,88,143,167
../Imagens/UnetDataset/caneca\results_pos\137_predict_resized.png,39,65,140,174
../Imagens/UnetDataset/caneca\results_pos\138_predict_resized.png,23,114,129,151
../Imagens/UnetDataset/caneca\results_pos\139_predict_resized.png,27,107,137,157
../Imagens/UnetDataset/caneca\results_pos\13_predict_resized.png,43,92,128,149
../Imagens/UnetDataset/caneca\results_pos\140_predict_resized.png,34,109,134,154
../Imagens/UnetDataset/caneca\results_pos\141_predict_resized.png,35,60,136,156
../Imagens/UnetDataset/caneca\results_pos\142_predict_resized.png,32,79,135,150
../Imagens/UnetDataset/caneca\results_pos\143_predict_resized.png,33,86,142,158
../Imagens/UnetDataset/caneca\results_pos\144_predict_resized.png,34,105,162,151
../Imagens/UnetDataset/caneca\results_pos\145_predict_resized.png,44,86,147,155
../Imagens/UnetDataset/caneca\results_pos\146_predict_resized.png,36,100,157,165
../Imagens/UnetDataset/caneca\results_pos\147_predict_resized.png,44,143,144,145
../Imagens/UnetDataset/caneca\results_pos\148_predict_resized.png,56,129,150,148
../Imagens/UnetDataset/caneca\results_pos\149_predict_resized.png,37,129,150,147
../Imagens/UnetDataset/caneca\results_pos\14_predict_resized.png,40,61,141,156
../Imagens/UnetDataset/caneca\results_pos\150_predict_resized.png,16,62,177,179
../Imagens/UnetDataset/caneca\results_pos\151_predict_resized.png,156,225,11,17
../Imagens/UnetDataset/caneca\results_pos\152_predict_resized.png,181,94,3,8
../Imagens/UnetDataset/caneca\results_pos\153_predict_resized.png,49,83,152,153
../Imagens/UnetDataset/caneca\results_pos\154_predict_resized.png,12,61,163,163
../Imagens/UnetDataset/caneca\results_pos\155_predict_resized.png,23,47,166,188
../Imagens/UnetDataset/caneca\results_pos\156_predict_resized.png,23,88,158,163
../Imagens/UnetDataset/caneca\results_pos\157_predict_resized.png,23,96,154,148
../Imagens/UnetDataset/caneca\results_pos\158_predict_resized.png,59,117,138,132
../Imagens/UnetDataset/caneca\results_pos\159_predict_resized.png,49,58,133,133
../Imagens/UnetDataset/caneca\results_pos\15_predict_resized.png,25,59,147,176
../Imagens/UnetDataset/caneca\results_pos\160_predict_resized.png,38,48,132,132
../Imagens/UnetDataset/caneca\results_pos\161_predict_resized.png,42,58,138,135
../Imagens/UnetDataset/caneca\results_pos\162_predict_resized.png,31,46,190,209
../Imagens/UnetDataset/caneca\results_pos\163_predict_resized.png,23,54,204,196
../Imagens/UnetDataset/caneca\results_pos\164_predict_resized.png,35,58,165,224
../Imagens/UnetDataset/caneca\results_pos\165_predict_resized.png,23,60,4,8
../Imagens/UnetDataset/caneca\results_pos\166_predict_resized.png,41,123,148,157
../Imagens/UnetDataset/caneca\results_pos\167_predict_resized.png,20,70,201,202
../Imagens/UnetDataset/caneca\results_pos\168_predict_resized.png,19,112,3,16
../Imagens/UnetDataset/caneca\results_pos\169_predict_resized.png,49,34,136,224
../Imagens/UnetDataset/caneca\results_pos\16_predict_resized.png,18,38,126,169
../Imagens/UnetDataset/caneca\results_pos\170_predict_resized.png,58,56,162,194
../Imagens/UnetDataset/caneca\results_pos\171_predict_resized.png,45,105,134,139
../Imagens/UnetDataset/caneca\results_pos\172_predict_resized.png,39,89,142,144
../Imagens/UnetDataset/caneca\results_pos\173_predict_resized.png,44,97,142,148
../Imagens/UnetDataset/caneca\results_pos\174_predict_resized.png,28,105,161,151
../Imagens/UnetDataset/caneca\results_pos\175_predict_resized.png,38,129,138,134
../Imagens/UnetDataset/caneca\results_pos\176_predict_resized.png,57,129,155,154
../Imagens/UnetDataset/caneca\results_pos\177_predict_resized.png,38,85,141,139
../Imagens/UnetDataset/caneca\results_pos\178_predict_resized.png,29,112,133,129
../Imagens/UnetDataset/caneca\results_pos\179_predict_resized.png,39,81,134,139
../Imagens/UnetDataset/caneca\results_pos\17_predict_resized.png,47,55,141,170
../Imagens/UnetDataset/caneca\results_pos\180_predict_resized.png,40,25,162,179
../Imagens/UnetDataset/caneca\results_pos\181_predict_resized.png,53,66,168,163
../Imagens/UnetDataset/caneca\results_pos\182_predict_resized.png,48,55,162,164
../Imagens/UnetDataset/caneca\results_pos\183_predict_resized.png,45,129,147,155
../Imagens/UnetDataset/caneca\results_pos\184_predict_resized.png,45,139,129,133
../Imagens/UnetDataset/caneca\results_pos\185_predict_resized.png,36,89,142,150
../Imagens/UnetDataset/caneca\results_pos\186_predict_resized.png,32,77,156,148
../Imagens/UnetDataset/caneca\results_pos\187_predict_resized.png,39,119,118,109
../Imagens/UnetDataset/caneca\results_pos\188_predict_resized.png,44,98,140,133
../Imagens/UnetDataset/caneca\results_pos\189_predict_resized.png,38,83,137,130
../Imagens/UnetDataset/caneca\results_pos\18_predict_resized.png,28,46,157,205
../Imagens/UnetDataset/caneca\results_pos\190_predict_resized.png,14,65,137,153
../Imagens/UnetDataset/caneca\results_pos\191_predict_resized.png,40,68,148,159
../Imagens/UnetDataset/caneca\results_pos\192_predict_resized.png,26,118,4,24
../Imagens/UnetDataset/caneca\results_pos\193_predict_resized.png,35,118,145,152
../Imagens/UnetDataset/caneca\results_pos\194_predict_resized.png,62,69,8,4
../Imagens/UnetDataset/caneca\results_pos\195_predict_resized.png,26,57,143,130
../Imagens/UnetDataset/caneca\results_pos\196_predict_resized.png,34,55,151,140
../Imagens/UnetDataset/caneca\results_pos\197_predict_resized.png,45,38,148,140
../Imagens/UnetDataset/caneca\results_pos\198_predict_resized.png,19,24,187,215
../Imagens/UnetDataset/caneca\results_pos\199_predict_resized.png,43,78,157,170
../Imagens/UnetDataset/caneca\results_pos\19_predict_resized.png,60,219,17,35
../Imagens/UnetDataset/caneca\results_pos\1_predict_resized.png,38,67,142,182
../Imagens/UnetDataset/caneca\results_pos\200_predict_resized.png,42,246,13,10
../Imagens/UnetDataset/caneca\results_pos\201_predict_resized.png,20,90,181,162
../Imagens/UnetDataset/caneca\results_pos\202_predict_resized.png,40,97,152,129
../Imagens/UnetDataset/caneca\results_pos\203_predict_resized.png,17,92,177,149
../Imagens/UnetDataset/caneca\results_pos\204_predict_resized.png,14,46,175,198
../Imagens/UnetDataset/caneca\results_pos\205_predict_resized.png,175,240,18,6
../Imagens/UnetDataset/caneca\results_pos\206_predict_resized.png,47,95,14,21
../Imagens/UnetDataset/caneca\results_pos\207_predict_resized.png,54,79,145,158
../Imagens/UnetDataset/caneca\results_pos\208_predict_resized.png,24,93,135,143
../Imagens/UnetDataset/caneca\results_pos\209_predict_resized.png,46,75,149,160
../Imagens/UnetDataset/caneca\results_pos\20_predict_resized.png,29,28,156,221
../Imagens/UnetDataset/caneca\results_pos\210_predict_resized.png,18,99,165,176
../Imagens/UnetDataset/caneca\results_pos\211_predict_resized.png,32,133,128,134
../Imagens/UnetDataset/caneca\results_pos\212_predict_resized.png,24,94,164,174
../Imagens/UnetDataset/caneca\results_pos\213_predict_resized.png,128,232,2,5
../Imagens/UnetDataset/caneca\results_pos\214_predict_resized.png,21,87,137,159
../Imagens/UnetDataset/caneca\results_pos\215_predict_resized.png,24,99,144,153
../Imagens/UnetDataset/caneca\results_pos\216_predict_resized.png,43,51,150,185
../Imagens/UnetDataset/caneca\results_pos\217_predict_resized.png,38,66,142,183
../Imagens/UnetDataset/caneca\results_pos\218_predict_resized.png,42,65,136,176
../Imagens/UnetDataset/caneca\results_pos\219_predict_resized.png,46,115,122,140
