file,x,y,w,h
../Imagens/UnetDataset/caneta\results_pos\0_predict_resized.png,104,58,27,238
../Imagens/UnetDataset/caneta\results_pos\100_predict_resized.png,126,36,19,211
../Imagens/UnetDataset/caneta\results_pos\101_predict_resized.png,116,54,19,224
../Imagens/UnetDataset/caneta\results_pos\102_predict_resized.png,106,67,17,201
../Imagens/UnetDataset/caneta\results_pos\103_predict_resized.png,109,53,17,197
../Imagens/UnetDataset/caneta\results_pos\104_predict_resized.png,130,46,18,205
../Imagens/UnetDataset/caneta\results_pos\105_predict_resized.png,98,26,31,230
../Imagens/UnetDataset/caneta\results_pos\106_predict_resized.png,108,7,36,255
../Imagens/UnetDataset/caneta\results_pos\107_predict_resized.png,95,24,37,231
../Imagens/UnetDataset/caneta\results_pos\108_predict_resized.png,104,56,27,241
../Imagens/UnetDataset/caneta\results_pos\109_predict_resized.png,98,55,26,232
../Imagens/UnetDataset/caneta\results_pos\10_predict_resized.png,106,52,56,245
../Imagens/UnetDataset/caneta\results_pos\110_predict_resized.png,105,65,24,207
../Imagens/UnetDataset/caneta\results_pos\111_predict_resized.png,98,45,34,216
../Imagens/UnetDataset/caneta\results_pos\112_predict_resized.png,88,21,34,256
../Imagens/UnetDataset/caneta\results_pos\113_predict_resized.png,94,27,32,228
../Imagens/UnetDataset/caneta\results_pos\114_predict_resized.png,85,51,40,262
../Imagens/UnetDataset/caneta\results_pos\115_predict_resized.png,96,44,38,269
../Imagens/UnetDataset/caneta\results_pos\116_predict_resized.png,117,64,35,238
../Imagens/UnetDataset/caneta\results_pos\117_predict_resized.png,125,102,51,201
../Imagens/UnetDataset/caneta\results_pos\118_predict_resized.png,105,51,59,250
../Imagens/UnetDataset/caneta\results_pos\119_predict_resized.png,120,68,54,205
../Imagens/UnetDataset/caneta\results_pos\11_predict_resized.png,122,69,51,198
../Imagens/UnetDataset/caneta\results_pos\120_predict_resized.png,121,58,27,238
../Imagens/UnetDataset/caneta\results_pos\121_predict_resized.png,126,65,27,185
../Imagens/UnetDataset/caneta\results_pos\122_predict_resized.png,94,70,26,226
../Imagens/UnetDataset/caneta\results_pos\123_predict_resized.png,108,38,29,241
../Imagens/UnetDataset/caneta\results_pos\124_predict_resized.png,142,58,26,187
../Imagens/UnetDataset/caneta\results_pos\125_predict_resized.png,130,44,29,207
../Imagens/UnetDataset/caneta\results_pos\126_predict_resized.png,100,57,26,192
../Imagens/UnetDataset/caneta\results_pos\127_predict_resized.png,102,79,34,197
../Imagens/UnetDataset/caneta\results_pos\128_predict_resized.png,92,65,24,191
../Imagens/UnetDataset/caneta\results_pos\129_predict_resized.png,89,68,27,188
../Imagens/UnetDataset/caneta\results_pos\12_predict_resized.png,121,57,28,236
../Imagens/UnetDataset/caneta\results_pos\130_predict_resized.png,105,85,28,175
../Imagens/UnetDataset/caneta\results_pos\131_predict_resized.png,108,73,26,183
../Imagens/UnetDataset/caneta\results_pos\132_predict_resized.png,120,76,30,166
../Imagens/UnetDataset/caneta\results_pos\133_predict_resized.png,65,37,32,199
../Imagens/UnetDataset/caneta\results_pos\134_predict_resized.png,107,72,32,200
../Imagens/UnetDataset/caneta\results_pos\135_predict_resized.png,96,48,26,232
../Imagens/UnetDataset/caneta\results_pos\136_predict_resized.png,68,88,24,199
../Imagens/UnetDataset/caneta\results_pos\137_predict_resized.png,95,55,30,222
../Imagens/UnetDataset/caneta\results_pos\138_predict_resized.png,104,49,32,221
../Imagens/UnetDataset/caneta\results_pos\139_predict_resized.png,97,55,35,220
../Imagens/UnetDataset/caneta\results_pos\13_predict_resized.png,126,64,27,182
../Imagens/UnetDataset/caneta\results_pos\140_predict_resized.png,109,71,28,195
../Imagens/UnetDataset/caneta\results_pos\141_predict_resized.png,110,78,25,193
../Imagens/UnetDataset/caneta\results_pos\142_predict_resized.png,117,58,31,181
../Imagens/UnetDataset/caneta\results_pos\143_predict_resized.png,98,50,24,181
../Imagens/UnetDataset/caneta\results_pos\144_predict_resized.png,98,31,44,256
../Imagens/UnetDataset/caneta\results_pos\145_predict_resized.png,108,49,28,246
../Imagens/UnetDataset/caneta\results_pos\146_predict_resized.png,100,29,31,252
../Imagens/UnetDataset/caneta\results_pos\147_predict_resized.png,107,42,36,235
../Imagens/UnetDataset/caneta\results_pos\148_predict_resized.png,117,25,1,1
../Imagens/UnetDataset/caneta\results_pos\149_predict_resized.png,84,69,38,224
../Imagens/UnetDataset/caneta\results_pos\14_predict_resized.png,94,69,26,222
../Imagens/UnetDataset/caneta\results_pos\150_predict_resized.png,103,8,27,250
../Imagens/UnetDataset/caneta\results_pos\151_predict_resized.png,90,10,36,276
../Imagens/UnetDataset/caneta\results_pos\152_predict_resized.png,109,45,29,242
../Imagens/UnetDataset/caneta\results_pos\153_predict_resized.png,114,90,20,222
../Imagens/UnetDataset/caneta\results_pos\154_predict_resized.png,109,66,20,216
../Imagens/UnetDataset/caneta\results_pos\155_predict_resized.png,117,86,15,172
../Imagens/UnetDataset/caneta\results_pos\156_predict_resized.png,111,64,24,197
../Imagens/UnetDataset/caneta\results_pos\157_predict_resized.png,118,51,20,175
../Imagens/UnetDataset/caneta\results_pos\158_predict_resized.png,102,77,26,201
../Imagens/UnetDataset/caneta\results_pos\159_predict_resized.png,105,92,38,181
../Imagens/UnetDataset/caneta\results_pos\15_predict_resized.png,107,37,31,236
../Imagens/UnetDataset/caneta\results_pos\160_predict_resized.png,89,85,45,219
../Imagens/UnetDataset/caneta\results_pos\161_predict_resized.png,87,86,41,191
../Imagens/UnetDataset/caneta\results_pos\162_predict_resized.png,96,56,37,242
../Imagens/UnetDataset/caneta\results_pos\163_predict_resized.png,104,94,28,194
../Imagens/UnetDataset/caneta\results_pos\164_predict_resized.png,85,40,28,234
../Imagens/UnetDataset/caneta\results_pos\165_predict_resized.png,92,51,27,231
../Imagens/UnetDataset/caneta\results_pos\166_predict_resized.png,100,98,23,187
../Imagens/UnetDataset/caneta\results_pos\167_predict_resized.png,97,73,26,192
../Imagens/UnetDataset/caneta\results_pos\168_predict_resized.png,91,98,2,6
../Imagens/UnetDataset/caneta\results_pos\169_predict_resized.png,87,79,35,211
../Imagens/UnetDataset/caneta\results_pos\16_predict_resized.png,142,62,25,181
../Imagens/UnetDataset/caneta\results_pos\170_predict_resized.png,109,62,30,202
../Imagens/UnetDataset/caneta\results_pos\171_predict_resized.png,84,44,25,197
../Imagens/UnetDataset/caneta\results_pos\172_predict_resized.png,101,75,26,200
../Imagens/UnetDataset/caneta\results_pos\173_predict_resized.png,104,63,26,204
../Imagens/UnetDataset/caneta\results_pos\174_predict_resized.png,128,179,5,25
../Imagens/UnetDataset/caneta\results_pos\175_predict_resized.png,125,187,7,28
../Imagens/UnetDataset/caneta\results_pos\176_predict_resized.png,114,193,6,24
../Imagens/UnetDataset/caneta\results_pos\177_predict_resized.png,104,74,25,191
../Imagens/UnetDataset/caneta\results_pos\178_predict_resized.png,107,100,21,169
../Imagens/UnetDataset/caneta\results_pos\179_predict_resized.png,95,84,25,176
../Imagens/UnetDataset/caneta\results_pos\17_predict_resized.png,130,45,29,204
../Imagens/UnetDataset/caneta\results_pos\180_predict_resized.png,106,20,26,275
../Imagens/UnetDataset/caneta\results_pos\181_predict_resized.png,102,34,21,265
../Imagens/UnetDataset/caneta\results_pos\182_predict_resized.png,99,43,23,240
../Imagens/UnetDataset/caneta\results_pos\183_predict_resized.png,106,29,18,230
../Imagens/UnetDataset/caneta\results_pos\184_predict_resized.png,102,26,18,231
../Imagens/UnetDataset/caneta\results_pos\185_predict_resized.png,100,42,18,218
../Imagens/UnetDataset/caneta\results_pos\186_predict_resized.png,83,18,27,279
../Imagens/UnetDataset/caneta\results_pos\187_predict_resized.png,102,12,23,285
../Imagens/UnetDataset/caneta\results_pos\188_predict_resized.png,84,24,26,274
../Imagens/UnetDataset/caneta\results_pos\189_predict_resized.png,113,49,28,220
../Imagens/UnetDataset/caneta\results_pos\18_predict_resized.png,101,58,25,188
../Imagens/UnetDataset/caneta\results_pos\190_predict_resized.png,118,56,30,251
../Imagens/UnetDataset/caneta\results_pos\191_predict_resized.png,110,41,40,217
../Imagens/UnetDataset/caneta\results_pos\192_predict_resized.png,103,51,18,247
../Imagens/UnetDataset/caneta\results_pos\193_predict_resized.png,77,16,23,242
../Imagens/UnetDataset/caneta\results_pos\194_predict_resized.png,100,32,19,235
../Imagens/UnetDataset/caneta\results_pos\195_predict_resized.png,113,49,37,227
../Imagens/UnetDataset/caneta\results_pos\196_predict_resized.png,120,64,36,213
../Imagens/UnetDataset/caneta\results_pos\197_predict_resized.png,78,32,33,223
../Imagens/UnetDataset/caneta\results_pos\198_predict_resized.png,107,28,39,253
