file,x,y,w,h
../Imagens/UnetDataset/chave\results_pos\0_predict_resized.png,91,120,45,84
../Imagens/UnetDataset/chave\results_pos\100_predict_resized.png,92,129,38,70
../Imagens/UnetDataset/chave\results_pos\101_predict_resized.png,93,121,38,69
../Imagens/UnetDataset/chave\results_pos\102_predict_resized.png,59,127,87,110
../Imagens/UnetDataset/chave\results_pos\103_predict_resized.png,98,129,49,89
../Imagens/UnetDataset/chave\results_pos\104_predict_resized.png,50,133,55,95
../Imagens/UnetDataset/chave\results_pos\105_predict_resized.png,67,149,55,80
../Imagens/UnetDataset/chave\results_pos\106_predict_resized.png,62,126,51,68
../Imagens/UnetDataset/chave\results_pos\107_predict_resized.png,80,117,51,71
../Imagens/UnetDataset/chave\results_pos\108_predict_resized.png,92,120,44,84
../Imagens/UnetDataset/chave\results_pos\109_predict_resized.png,78,94,51,96
../Imagens/UnetDataset/chave\results_pos\10_predict_resized.png,95,123,38,48
../Imagens/UnetDataset/chave\results_pos\110_predict_resized.png,61,132,40,78
../Imagens/UnetDataset/chave\results_pos\111_predict_resized.png,83,101,56,115
../Imagens/UnetDataset/chave\results_pos\112_predict_resized.png,70,91,49,101
../Imagens/UnetDataset/chave\results_pos\113_predict_resized.png,69,122,46,93
../Imagens/UnetDataset/chave\results_pos\114_predict_resized.png,115,152,1,1
../Imagens/UnetDataset/chave\results_pos\115_predict_resized.png,99,107,33,67
../Imagens/UnetDataset/chave\results_pos\116_predict_resized.png,83,99,37,76
../Imagens/UnetDataset/chave\results_pos\117_predict_resized.png,94,83,44,74
../Imagens/UnetDataset/chave\results_pos\118_predict_resized.png,94,123,39,48
../Imagens/UnetDataset/chave\results_pos\119_predict_resized.png,109,80,47,59
../Imagens/UnetDataset/chave\results_pos\11_predict_resized.png,109,80,48,59
../Imagens/UnetDataset/chave\results_pos\120_predict_resized.png,75,108,75,42
../Imagens/UnetDataset/chave\results_pos\121_predict_resized.png,141,27,44,56
../Imagens/UnetDataset/chave\results_pos\122_predict_resized.png,92,72,9,13
../Imagens/UnetDataset/chave\results_pos\123_predict_resized.png,82,72,68,39
../Imagens/UnetDataset/chave\results_pos\124_predict_resized.png,103,181,50,45
../Imagens/UnetDataset/chave\results_pos\125_predict_resized.png,63,103,52,38
../Imagens/UnetDataset/chave\results_pos\126_predict_resized.png,91,118,36,79
../Imagens/UnetDataset/chave\results_pos\127_predict_resized.png,88,117,42,88
../Imagens/UnetDataset/chave\results_pos\128_predict_resized.png,76,119,40,86
../Imagens/UnetDataset/chave\results_pos\129_predict_resized.png,58,91,57,124
