file,x,y,w,h
../Imagens/UnetDataset/creme_dental\results_pos\0_predict_resized.png,94,76,59,186
../Imagens/UnetDataset/creme_dental\results_pos\100_predict_resized.png,77,27,75,260
../Imagens/UnetDataset/creme_dental\results_pos\101_predict_resized.png,78,47,73,252
../Imagens/UnetDataset/creme_dental\results_pos\102_predict_resized.png,55,43,63,224
../Imagens/UnetDataset/creme_dental\results_pos\103_predict_resized.png,81,82,53,184
../Imagens/UnetDataset/creme_dental\results_pos\104_predict_resized.png,71,57,57,205
../Imagens/UnetDataset/creme_dental\results_pos\105_predict_resized.png,85,68,54,192
../Imagens/UnetDataset/creme_dental\results_pos\106_predict_resized.png,85,84,53,186
../Imagens/UnetDataset/creme_dental\results_pos\107_predict_resized.png,76,78,56,197
../Imagens/UnetDataset/creme_dental\results_pos\108_predict_resized.png,94,76,59,186
../Imagens/UnetDataset/creme_dental\results_pos\109_predict_resized.png,66,71,59,188
../Imagens/UnetDataset/creme_dental\results_pos\10_predict_resized.png,188,151,22,7
../Imagens/UnetDataset/creme_dental\results_pos\110_predict_resized.png,84,73,62,198
../Imagens/UnetDataset/creme_dental\results_pos\111_predict_resized.png,68,74,60,187
../Imagens/UnetDataset/creme_dental\results_pos\112_predict_resized.png,65,67,66,188
../Imagens/UnetDataset/creme_dental\results_pos\113_predict_resized.png,68,74,69,185
../Imagens/UnetDataset/creme_dental\results_pos\114_predict_resized.png,79,76,50,168
../Imagens/UnetDataset/creme_dental\results_pos\115_predict_resized.png,79,53,54,178
../Imagens/UnetDataset/creme_dental\results_pos\116_predict_resized.png,86,69,56,185
../Imagens/UnetDataset/creme_dental\results_pos\117_predict_resized.png,153,104,45,64
../Imagens/UnetDataset/creme_dental\results_pos\118_predict_resized.png,103,134,35,21
../Imagens/UnetDataset/creme_dental\results_pos\119_predict_resized.png,154,97,43,62
../Imagens/UnetDataset/creme_dental\results_pos\11_predict_resized.png,159,103,49,55
../Imagens/UnetDataset/creme_dental\results_pos\120_predict_resized.png,86,73,80,193
../Imagens/UnetDataset/creme_dental\results_pos\121_predict_resized.png,65,87,78,189
../Imagens/UnetDataset/creme_dental\results_pos\122_predict_resized.png,91,88,69,180
../Imagens/UnetDataset/creme_dental\results_pos\123_predict_resized.png,104,65,56,169
../Imagens/UnetDataset/creme_dental\results_pos\124_predict_resized.png,80,46,62,190
../Imagens/UnetDataset/creme_dental\results_pos\125_predict_resized.png,95,41,61,187
../Imagens/UnetDataset/creme_dental\results_pos\126_predict_resized.png,84,60,53,179
../Imagens/UnetDataset/creme_dental\results_pos\127_predict_resized.png,70,56,55,178
../Imagens/UnetDataset/creme_dental\results_pos\128_predict_resized.png,89,72,54,177
