file,x,y,w,h
../Imagens/UnetDataset/fio_dental\results_pos\0_predict_resized.png,72,125,79,92
../Imagens/UnetDataset/fio_dental\results_pos\100_predict_resized.png,78,102,83,83
../Imagens/UnetDataset/fio_dental\results_pos\101_predict_resized.png,48,112,91,97
../Imagens/UnetDataset/fio_dental\results_pos\102_predict_resized.png,50,108,130,129
../Imagens/UnetDataset/fio_dental\results_pos\103_predict_resized.png,53,114,95,99
../Imagens/UnetDataset/fio_dental\results_pos\104_predict_resized.png,57,121,118,107
../Imagens/UnetDataset/fio_dental\results_pos\105_predict_resized.png,34,102,83,87
../Imagens/UnetDataset/fio_dental\results_pos\106_predict_resized.png,36,83,99,121
../Imagens/UnetDataset/fio_dental\results_pos\107_predict_resized.png,72,99,92,97
../Imagens/UnetDataset/fio_dental\results_pos\108_predict_resized.png,72,125,79,92
../Imagens/UnetDataset/fio_dental\results_pos\109_predict_resized.png,73,107,83,98
../Imagens/UnetDataset/fio_dental\results_pos\10_predict_resized.png,66,83,87,101
../Imagens/UnetDataset/fio_dental\results_pos\110_predict_resized.png,55,112,84,97
../Imagens/UnetDataset/fio_dental\results_pos\111_predict_resized.png,65,147,86,98
../Imagens/UnetDataset/fio_dental\results_pos\112_predict_resized.png,36,101,110,125
../Imagens/UnetDataset/fio_dental\results_pos\113_predict_resized.png,52,101,105,119
../Imagens/UnetDataset/fio_dental\results_pos\114_predict_resized.png,79,130,73,82
../Imagens/UnetDataset/fio_dental\results_pos\115_predict_resized.png,76,118,74,82
../Imagens/UnetDataset/fio_dental\results_pos\116_predict_resized.png,75,124,75,84
../Imagens/UnetDataset/fio_dental\results_pos\117_predict_resized.png,98,78,80,101
../Imagens/UnetDataset/fio_dental\results_pos\118_predict_resized.png,66,83,87,102
../Imagens/UnetDataset/fio_dental\results_pos\119_predict_resized.png,92,60,77,92
../Imagens/UnetDataset/fio_dental\results_pos\11_predict_resized.png,92,60,77,91
../Imagens/UnetDataset/fio_dental\results_pos\120_predict_resized.png,30,81,124,137
../Imagens/UnetDataset/fio_dental\results_pos\121_predict_resized.png,56,146,120,127
../Imagens/UnetDataset/fio_dental\results_pos\122_predict_resized.png,33,121,113,125
../Imagens/UnetDataset/fio_dental\results_pos\123_predict_resized.png,90,81,75,124
../Imagens/UnetDataset/fio_dental\results_pos\124_predict_resized.png,76,70,76,133
