file,x,y,w,h
../Imagens/UnetDataset/meia\results_pos\0_predict_resized.png,30,25,187,279
../Imagens/UnetDataset/meia\results_pos\100_predict_resized.png,78,23,113,250
../Imagens/UnetDataset/meia\results_pos\101_predict_resized.png,77,17,111,243
../Imagens/UnetDataset/meia\results_pos\102_predict_resized.png,71,45,99,225
../Imagens/UnetDataset/meia\results_pos\103_predict_resized.png,61,82,102,238
../Imagens/UnetDataset/meia\results_pos\104_predict_resized.png,63,50,128,228
../Imagens/UnetDataset/meia\results_pos\105_predict_resized.png,61,38,114,256
../Imagens/UnetDataset/meia\results_pos\106_predict_resized.png,57,59,88,195
../Imagens/UnetDataset/meia\results_pos\107_predict_resized.png,72,38,95,213
../Imagens/UnetDataset/meia\results_pos\108_predict_resized.png,30,25,187,295
../Imagens/UnetDataset/meia\results_pos\109_predict_resized.png,34,0,180,304
../Imagens/UnetDataset/meia\results_pos\10_predict_resized.png,84,0,95,320
../Imagens/UnetDataset/meia\results_pos\110_predict_resized.png,19,35,176,269
../Imagens/UnetDataset/meia\results_pos\111_predict_resized.png,55,37,101,242
../Imagens/UnetDataset/meia\results_pos\112_predict_resized.png,57,30,103,250
../Imagens/UnetDataset/meia\results_pos\113_predict_resized.png,76,62,98,237
../Imagens/UnetDataset/meia\results_pos\114_predict_resized.png,61,63,95,257
../Imagens/UnetDataset/meia\results_pos\115_predict_resized.png,75,40,107,260
../Imagens/UnetDataset/meia\results_pos\116_predict_resized.png,53,56,98,248
../Imagens/UnetDataset/meia\results_pos\117_predict_resized.png,56,28,110,237
../Imagens/UnetDataset/meia\results_pos\118_predict_resized.png,84,28,95,274
../Imagens/UnetDataset/meia\results_pos\119_predict_resized.png,48,30,104,227
../Imagens/UnetDataset/meia\results_pos\11_predict_resized.png,48,16,104,241
../Imagens/UnetDataset/meia\results_pos\120_predict_resized.png,39,19,143,301
../Imagens/UnetDataset/meia\results_pos\121_predict_resized.png,71,22,124,298
../Imagens/UnetDataset/meia\results_pos\122_predict_resized.png,54,27,146,293
../Imagens/UnetDataset/meia\results_pos\123_predict_resized.png,72,34,96,225
../Imagens/UnetDataset/meia\results_pos\124_predict_resized.png,53,38,99,230
