file,x,y,w,h
../Imagens/UnetDataset/perfume\results_pos\0_predict_resized.png,48,44,147,249
../Imagens/UnetDataset/perfume\results_pos\100_predict_resized.png,61,84,111,180
../Imagens/UnetDataset/perfume\results_pos\101_predict_resized.png,54,63,100,167
../Imagens/UnetDataset/perfume\results_pos\102_predict_resized.png,75,124,89,145
../Imagens/UnetDataset/perfume\results_pos\103_predict_resized.png,57,123,94,157
../Imagens/UnetDataset/perfume\results_pos\104_predict_resized.png,80,97,97,160
../Imagens/UnetDataset/perfume\results_pos\105_predict_resized.png,56,65,96,159
../Imagens/UnetDataset/perfume\results_pos\106_predict_resized.png,48,99,93,151
../Imagens/UnetDataset/perfume\results_pos\107_predict_resized.png,63,71,100,160
../Imagens/UnetDataset/perfume\results_pos\108_predict_resized.png,48,46,147,247
../Imagens/UnetDataset/perfume\results_pos\109_predict_resized.png,43,31,127,212
../Imagens/UnetDataset/perfume\results_pos\10_predict_resized.png,64,90,92,158
../Imagens/UnetDataset/perfume\results_pos\110_predict_resized.png,55,55,136,224
../Imagens/UnetDataset/perfume\results_pos\111_predict_resized.png,0,53,145,208
../Imagens/UnetDataset/perfume\results_pos\112_predict_resized.png,54,61,115,187
../Imagens/UnetDataset/perfume\results_pos\113_predict_resized.png,50,78,131,208
../Imagens/UnetDataset/perfume\results_pos\114_predict_resized.png,46,62,128,207
../Imagens/UnetDataset/perfume\results_pos\115_predict_resized.png,51,52,127,204
../Imagens/UnetDataset/perfume\results_pos\116_predict_resized.png,46,61,132,215
../Imagens/UnetDataset/perfume\results_pos\117_predict_resized.png,63,62,90,171
../Imagens/UnetDataset/perfume\results_pos\118_predict_resized.png,65,88,90,160
../Imagens/UnetDataset/perfume\results_pos\119_predict_resized.png,60,82,95,169
../Imagens/UnetDataset/perfume\results_pos\11_predict_resized.png,60,82,96,169
../Imagens/UnetDataset/perfume\results_pos\120_predict_resized.png,51,65,115,187
../Imagens/UnetDataset/perfume\results_pos\121_predict_resized.png,61,119,86,144
../Imagens/UnetDataset/perfume\results_pos\122_predict_resized.png,52,81,109,179
../Imagens/UnetDataset/perfume\results_pos\123_predict_resized.png,72,49,95,175
../Imagens/UnetDataset/perfume\results_pos\124_predict_resized.png,77,59,90,164
../Imagens/UnetDataset/perfume\results_pos\125_predict_resized.png,65,82,98,162
../Imagens/UnetDataset/perfume\results_pos\126_predict_resized.png,41,53,137,231
../Imagens/UnetDataset/perfume\results_pos\127_predict_resized.png,74,90,124,210
../Imagens/UnetDataset/perfume\results_pos\128_predict_resized.png,50,60,128,213
../Imagens/UnetDataset/perfume\results_pos\129_predict_resized.png,48,65,141,191
../Imagens/UnetDataset/perfume\results_pos\12_predict_resized.png,51,64,115,188
../Imagens/UnetDataset/perfume\results_pos\130_predict_resized.png,65,87,123,170
../Imagens/UnetDataset/perfume\results_pos\131_predict_resized.png,61,98,123,167
../Imagens/UnetDataset/perfume\results_pos\132_predict_resized.png,57,86,109,175
../Imagens/UnetDataset/perfume\results_pos\133_predict_resized.png,47,71,107,173
../Imagens/UnetDataset/perfume\results_pos\134_predict_resized.png,69,81,97,169
../Imagens/UnetDataset/perfume\results_pos\135_predict_resized.png,39,64,130,216
../Imagens/UnetDataset/perfume\results_pos\136_predict_resized.png,59,72,116,189
../Imagens/UnetDataset/perfume\results_pos\137_predict_resized.png,32,50,139,230
../Imagens/UnetDataset/perfume\results_pos\138_predict_resized.png,47,75,125,201
../Imagens/UnetDataset/perfume\results_pos\139_predict_resized.png,61,105,99,158
../Imagens/UnetDataset/perfume\results_pos\13_predict_resized.png,62,120,85,140
../Imagens/UnetDataset/perfume\results_pos\140_predict_resized.png,39,61,137,216
../Imagens/UnetDataset/perfume\results_pos\141_predict_resized.png,36,71,116,193
../Imagens/UnetDataset/perfume\results_pos\142_predict_resized.png,37,92,116,191
../Imagens/UnetDataset/perfume\results_pos\143_predict_resized.png,51,82,115,192
../Imagens/UnetDataset/perfume\results_pos\144_predict_resized.png,55,71,104,179
../Imagens/UnetDataset/perfume\results_pos\145_predict_resized.png,52,57,116,196
../Imagens/UnetDataset/perfume\results_pos\146_predict_resized.png,56,61,103,175
../Imagens/UnetDataset/perfume\results_pos\147_predict_resized.png,62,73,105,187
../Imagens/UnetDataset/perfume\results_pos\148_predict_resized.png,62,82,90,155
../Imagens/UnetDataset/perfume\results_pos\149_predict_resized.png,52,59,100,181
../Imagens/UnetDataset/perfume\results_pos\14_predict_resized.png,52,81,109,179
../Imagens/UnetDataset/perfume\results_pos\150_predict_resized.png,61,80,101,164
../Imagens/UnetDataset/perfume\results_pos\151_predict_resized.png,37,59,117,192
../Imagens/UnetDataset/perfume\results_pos\152_predict_resized.png,67,53,104,175
../Imagens/UnetDataset/perfume\results_pos\153_predict_resized.png,74,70,110,175
../Imagens/UnetDataset/perfume\results_pos\154_predict_resized.png,53,73,101,168
../Imagens/UnetDataset/perfume\results_pos\155_predict_resized.png,63,50,108,178
../Imagens/UnetDataset/perfume\results_pos\156_predict_resized.png,53,54,135,179
../Imagens/UnetDataset/perfume\results_pos\157_predict_resized.png,26,52,136,196
../Imagens/UnetDataset/perfume\results_pos\158_predict_resized.png,30,85,114,163
../Imagens/UnetDataset/perfume\results_pos\159_predict_resized.png,48,30,130,252
../Imagens/UnetDataset/perfume\results_pos\15_predict_resized.png,72,49,95,175
../Imagens/UnetDataset/perfume\results_pos\160_predict_resized.png,51,68,106,209
