file,x,y,w,h
../Imagens/UnetDataset/pilha\results_pos\0_predict_resized.png,98,122,18,74
../Imagens/UnetDataset/pilha\results_pos\100_predict_resized.png,67,91,43,102
../Imagens/UnetDataset/pilha\results_pos\101_predict_resized.png,70,70,48,126
../Imagens/UnetDataset/pilha\results_pos\102_predict_resized.png,70,109,31,99
../Imagens/UnetDataset/pilha\results_pos\103_predict_resized.png,73,136,27,79
../Imagens/UnetDataset/pilha\results_pos\104_predict_resized.png,90,133,28,95
../Imagens/UnetDataset/pilha\results_pos\105_predict_resized.png,60,116,27,95
../Imagens/UnetDataset/pilha\results_pos\106_predict_resized.png,117,140,28,82
../Imagens/UnetDataset/pilha\results_pos\107_predict_resized.png,83,140,28,83
../Imagens/UnetDataset/pilha\results_pos\108_predict_resized.png,98,123,18,73
../Imagens/UnetDataset/pilha\results_pos\109_predict_resized.png,102,119,17,68
../Imagens/UnetDataset/pilha\results_pos\10_predict_resized.png,98,86,21,67
../Imagens/UnetDataset/pilha\results_pos\110_predict_resized.png,94,119,18,77
../Imagens/UnetDataset/pilha\results_pos\111_predict_resized.png,101,135,16,68
../Imagens/UnetDataset/pilha\results_pos\112_predict_resized.png,83,127,18,68
../Imagens/UnetDataset/pilha\results_pos\113_predict_resized.png,98,142,17,66
../Imagens/UnetDataset/pilha\results_pos\114_predict_resized.png,90,116,20,67
../Imagens/UnetDataset/pilha\results_pos\115_predict_resized.png,92,109,28,82
../Imagens/UnetDataset/pilha\results_pos\116_predict_resized.png,104,116,24,70
../Imagens/UnetDataset/pilha\results_pos\117_predict_resized.png,97,120,16,73
../Imagens/UnetDataset/pilha\results_pos\118_predict_resized.png,99,86,20,66
../Imagens/UnetDataset/pilha\results_pos\119_predict_resized.png,82,104,20,75
../Imagens/UnetDataset/pilha\results_pos\11_predict_resized.png,82,104,20,76
../Imagens/UnetDataset/pilha\results_pos\120_predict_resized.png,85,91,25,72
../Imagens/UnetDataset/pilha\results_pos\121_predict_resized.png,77,76,31,104
../Imagens/UnetDataset/pilha\results_pos\122_predict_resized.png,100,88,20,69
../Imagens/UnetDataset/pilha\results_pos\123_predict_resized.png,112,71,21,74
../Imagens/UnetDataset/pilha\results_pos\124_predict_resized.png,95,111,16,58
../Imagens/UnetDataset/pilha\results_pos\125_predict_resized.png,96,91,21,74
../Imagens/UnetDataset/pilha\results_pos\126_predict_resized.png,109,127,27,93
../Imagens/UnetDataset/pilha\results_pos\127_predict_resized.png,113,114,25,97
../Imagens/UnetDataset/pilha\results_pos\128_predict_resized.png,103,88,31,111
../Imagens/UnetDataset/pilha\results_pos\129_predict_resized.png,126,103,33,118
../Imagens/UnetDataset/pilha\results_pos\12_predict_resized.png,72,55,38,108
../Imagens/UnetDataset/pilha\results_pos\130_predict_resized.png,99,106,34,93
../Imagens/UnetDataset/pilha\results_pos\131_predict_resized.png,144,114,34,119
../Imagens/UnetDataset/pilha\results_pos\132_predict_resized.png,121,146,26,89
../Imagens/UnetDataset/pilha\results_pos\133_predict_resized.png,137,130,30,95
../Imagens/UnetDataset/pilha\results_pos\134_predict_resized.png,111,130,24,82
../Imagens/UnetDataset/pilha\results_pos\135_predict_resized.png,104,128,24,97
../Imagens/UnetDataset/pilha\results_pos\136_predict_resized.png,103,111,21,92
../Imagens/UnetDataset/pilha\results_pos\137_predict_resized.png,87,102,18,85
../Imagens/UnetDataset/pilha\results_pos\138_predict_resized.png,97,130,30,119
../Imagens/UnetDataset/pilha\results_pos\139_predict_resized.png,112,134,26,99
../Imagens/UnetDataset/pilha\results_pos\13_predict_resized.png,76,75,32,105
../Imagens/UnetDataset/pilha\results_pos\140_predict_resized.png,93,95,29,120
../Imagens/UnetDataset/pilha\results_pos\141_predict_resized.png,88,118,21,85
../Imagens/UnetDataset/pilha\results_pos\142_predict_resized.png,104,138,15,69
../Imagens/UnetDataset/pilha\results_pos\143_predict_resized.png,62,101,29,96
../Imagens/UnetDataset/pilha\results_pos\144_predict_resized.png,86,93,26,94
../Imagens/UnetDataset/pilha\results_pos\145_predict_resized.png,77,114,26,87
../Imagens/UnetDataset/pilha\results_pos\146_predict_resized.png,89,102,33,107
../Imagens/UnetDataset/pilha\results_pos\147_predict_resized.png,85,130,26,89
../Imagens/UnetDataset/pilha\results_pos\148_predict_resized.png,107,174,23,77
../Imagens/UnetDataset/pilha\results_pos\149_predict_resized.png,90,136,25,76
../Imagens/UnetDataset/pilha\results_pos\14_predict_resized.png,82,70,38,87
../Imagens/UnetDataset/pilha\results_pos\150_predict_resized.png,93,105,22,81
../Imagens/UnetDataset/pilha\results_pos\151_predict_resized.png,98,118,26,93
../Imagens/UnetDataset/pilha\results_pos\152_predict_resized.png,95,136,23,80
../Imagens/UnetDataset/pilha\results_pos\153_predict_resized.png,78,70,24,90
../Imagens/UnetDataset/pilha\results_pos\154_predict_resized.png,134,151,23,75
../Imagens/UnetDataset/pilha\results_pos\155_predict_resized.png,103,113,22,71
../Imagens/UnetDataset/pilha\results_pos\156_predict_resized.png,114,162,29,81
../Imagens/UnetDataset/pilha\results_pos\157_predict_resized.png,101,113,21,64
../Imagens/UnetDataset/pilha\results_pos\158_predict_resized.png,65,75,40,74
../Imagens/UnetDataset/pilha\results_pos\159_predict_resized.png,115,136,27,79
../Imagens/UnetDataset/pilha\results_pos\15_predict_resized.png,112,72,21,73
../Imagens/UnetDataset/pilha\results_pos\160_predict_resized.png,96,114,24,54
../Imagens/UnetDataset/pilha\results_pos\161_predict_resized.png,91,84,27,77
../Imagens/UnetDataset/pilha\results_pos\162_predict_resized.png,74,90,29,98
../Imagens/UnetDataset/pilha\results_pos\163_predict_resized.png,99,98,26,90
../Imagens/UnetDataset/pilha\results_pos\164_predict_resized.png,108,124,24,75
../Imagens/UnetDataset/pilha\results_pos\165_predict_resized.png,84,102,44,106
../Imagens/UnetDataset/pilha\results_pos\166_predict_resized.png,98,138,36,90
../Imagens/UnetDataset/pilha\results_pos\167_predict_resized.png,98,112,39,98
../Imagens/UnetDataset/pilha\results_pos\168_predict_resized.png,68,67,35,110
../Imagens/UnetDataset/pilha\results_pos\169_predict_resized.png,89,119,34,99
../Imagens/UnetDataset/pilha\results_pos\16_predict_resized.png,95,111,16,60
../Imagens/UnetDataset/pilha\results_pos\170_predict_resized.png,90,98,31,101
../Imagens/UnetDataset/pilha\results_pos\171_predict_resized.png,81,160,36,106
../Imagens/UnetDataset/pilha\results_pos\172_predict_resized.png,77,100,39,108
../Imagens/UnetDataset/pilha\results_pos\173_predict_resized.png,64,98,42,113
../Imagens/UnetDataset/pilha\results_pos\174_predict_resized.png,84,94,31,106
../Imagens/UnetDataset/pilha\results_pos\175_predict_resized.png,81,108,37,124
../Imagens/UnetDataset/pilha\results_pos\176_predict_resized.png,87,103,34,114
../Imagens/UnetDataset/pilha\results_pos\177_predict_resized.png,81,108,29,100
../Imagens/UnetDataset/pilha\results_pos\178_predict_resized.png,116,168,26,97
../Imagens/UnetDataset/pilha\results_pos\179_predict_resized.png,95,114,28,98
../Imagens/UnetDataset/pilha\results_pos\17_predict_resized.png,96,91,21,75
../Imagens/UnetDataset/pilha\results_pos\180_predict_resized.png,99,102,27,92
../Imagens/UnetDataset/pilha\results_pos\181_predict_resized.png,76,98,27,97
../Imagens/UnetDataset/pilha\results_pos\182_predict_resized.png,73,127,26,93
../Imagens/UnetDataset/pilha\results_pos\183_predict_resized.png,108,123,26,93
../Imagens/UnetDataset/pilha\results_pos\184_predict_resized.png,126,163,21,66
../Imagens/UnetDataset/pilha\results_pos\185_predict_resized.png,104,136,25,81
../Imagens/UnetDataset/pilha\results_pos\186_predict_resized.png,94,107,31,92
../Imagens/UnetDataset/pilha\results_pos\187_predict_resized.png,91,97,27,76
../Imagens/UnetDataset/pilha\results_pos\188_predict_resized.png,94,85,37,98
../Imagens/UnetDataset/pilha\results_pos\189_predict_resized.png,105,75,25,85
../Imagens/UnetDataset/pilha\results_pos\18_predict_resized.png,109,127,27,93
../Imagens/UnetDataset/pilha\results_pos\190_predict_resized.png,94,105,21,65
../Imagens/UnetDataset/pilha\results_pos\191_predict_resized.png,102,107,21,67
../Imagens/UnetDataset/pilha\results_pos\192_predict_resized.png,101,82,31,94
../Imagens/UnetDataset/pilha\results_pos\193_predict_resized.png,115,135,18,63
../Imagens/UnetDataset/pilha\results_pos\194_predict_resized.png,76,82,34,95
../Imagens/UnetDataset/pilha\results_pos\195_predict_resized.png,94,74,27,81
../Imagens/UnetDataset/pilha\results_pos\196_predict_resized.png,75,106,27,70
../Imagens/UnetDataset/pilha\results_pos\197_predict_resized.png,68,82,25,79
../Imagens/UnetDataset/pilha\results_pos\198_predict_resized.png,92,109,28,98
../Imagens/UnetDataset/pilha\results_pos\199_predict_resized.png,91,108,29,91
../Imagens/UnetDataset/pilha\results_pos\19_predict_resized.png,113,114,25,97
../Imagens/UnetDataset/pilha\results_pos\1_predict_resized.png,102,119,18,68
../Imagens/UnetDataset/pilha\results_pos\200_predict_resized.png,91,98,36,114
../Imagens/UnetDataset/pilha\results_pos\201_predict_resized.png,86,91,31,101
../Imagens/UnetDataset/pilha\results_pos\202_predict_resized.png,98,117,33,106
../Imagens/UnetDataset/pilha\results_pos\203_predict_resized.png,89,110,32,103
../Imagens/UnetDataset/pilha\results_pos\204_predict_resized.png,101,95,31,121
../Imagens/UnetDataset/pilha\results_pos\205_predict_resized.png,92,135,26,86
../Imagens/UnetDataset/pilha\results_pos\206_predict_resized.png,93,110,32,111
../Imagens/UnetDataset/pilha\results_pos\207_predict_resized.png,111,122,40,108
../Imagens/UnetDataset/pilha\results_pos\208_predict_resized.png,68,90,42,103
../Imagens/UnetDataset/pilha\results_pos\209_predict_resized.png,70,72,47,125
../Imagens/UnetDataset/pilha\results_pos\20_predict_resized.png,103,88,31,112
../Imagens/UnetDataset/pilha\results_pos\210_predict_resized.png,71,109,30,99
../Imagens/UnetDataset/pilha\results_pos\211_predict_resized.png,73,136,27,79
../Imagens/UnetDataset/pilha\results_pos\212_predict_resized.png,89,134,29,94
../Imagens/UnetDataset/pilha\results_pos\213_predict_resized.png,61,114,26,97
../Imagens/UnetDataset/pilha\results_pos\214_predict_resized.png,118,140,27,81
../Imagens/UnetDataset/pilha\results_pos\215_predict_resized.png,84,140,27,83
../Imagens/UnetDataset/pilha\results_pos\216_predict_resized.png,97,123,19,73
../Imagens/UnetDataset/pilha\results_pos\217_predict_resized.png,102,119,17,68
../Imagens/UnetDataset/pilha\results_pos\218_predict_resized.png,93,119,19,77
../Imagens/UnetDataset/pilha\results_pos\219_predict_resized.png,101,135,16,67
../Imagens/UnetDataset/pilha\results_pos\21_predict_resized.png,125,103,34,118
../Imagens/UnetDataset/pilha\results_pos\220_predict_resized.png,83,127,18,68
../Imagens/UnetDataset/pilha\results_pos\221_predict_resized.png,98,142,17,66
../Imagens/UnetDataset/pilha\results_pos\222_predict_resized.png,90,117,20,67
../Imagens/UnetDataset/pilha\results_pos\223_predict_resized.png,92,110,28,81
../Imagens/UnetDataset/pilha\results_pos\224_predict_resized.png,104,117,24,69
../Imagens/UnetDataset/pilha\results_pos\225_predict_resized.png,96,120,16,73
