file,x,y,w,h
../Imagens/UnetDataset/shampoo\results_pos\0_predict_resized.png,60,14,110,245
../Imagens/UnetDataset/shampoo\results_pos\100_predict_resized.png,65,26,91,276
../Imagens/UnetDataset/shampoo\results_pos\101_predict_resized.png,75,34,89,270
../Imagens/UnetDataset/shampoo\results_pos\102_predict_resized.png,64,14,99,284
../Imagens/UnetDataset/shampoo\results_pos\103_predict_resized.png,63,36,93,272
../Imagens/UnetDataset/shampoo\results_pos\104_predict_resized.png,71,39,101,268
../Imagens/UnetDataset/shampoo\results_pos\105_predict_resized.png,63,22,92,287
../Imagens/UnetDataset/shampoo\results_pos\106_predict_resized.png,73,22,86,271
../Imagens/UnetDataset/shampoo\results_pos\107_predict_resized.png,69,24,93,296
../Imagens/UnetDataset/shampoo\results_pos\108_predict_resized.png,60,13,110,246
../Imagens/UnetDataset/shampoo\results_pos\109_predict_resized.png,69,0,112,260
../Imagens/UnetDataset/shampoo\results_pos\10_predict_resized.png,76,38,98,244
../Imagens/UnetDataset/shampoo\results_pos\110_predict_resized.png,63,36,106,240
../Imagens/UnetDataset/shampoo\results_pos\111_predict_resized.png,62,23,123,277
../Imagens/UnetDataset/shampoo\results_pos\112_predict_resized.png,58,50,120,258
../Imagens/UnetDataset/shampoo\results_pos\113_predict_resized.png,62,37,109,244
../Imagens/UnetDataset/shampoo\results_pos\114_predict_resized.png,54,20,114,259
../Imagens/UnetDataset/shampoo\results_pos\115_predict_resized.png,64,51,88,196
../Imagens/UnetDataset/shampoo\results_pos\116_predict_resized.png,57,25,110,250
../Imagens/UnetDataset/shampoo\results_pos\117_predict_resized.png,71,30,109,262
../Imagens/UnetDataset/shampoo\results_pos\118_predict_resized.png,77,36,97,244
../Imagens/UnetDataset/shampoo\results_pos\119_predict_resized.png,63,12,106,268
../Imagens/UnetDataset/shampoo\results_pos\11_predict_resized.png,63,13,107,282
../Imagens/UnetDataset/shampoo\results_pos\120_predict_resized.png,44,19,142,265
../Imagens/UnetDataset/shampoo\results_pos\121_predict_resized.png,58,67,128,241
../Imagens/UnetDataset/shampoo\results_pos\122_predict_resized.png,43,55,148,244
../Imagens/UnetDataset/shampoo\results_pos\123_predict_resized.png,68,15,101,232
../Imagens/UnetDataset/shampoo\results_pos\124_predict_resized.png,72,43,89,229
../Imagens/UnetDataset/shampoo\results_pos\125_predict_resized.png,67,26,92,230
../Imagens/UnetDataset/shampoo\results_pos\126_predict_resized.png,52,55,103,220
../Imagens/UnetDataset/shampoo\results_pos\127_predict_resized.png,65,68,104,216
../Imagens/UnetDataset/shampoo\results_pos\128_predict_resized.png,53,53,110,228
../Imagens/UnetDataset/shampoo\results_pos\129_predict_resized.png,66,0,126,293
../Imagens/UnetDataset/shampoo\results_pos\12_predict_resized.png,44,19,147,265
../Imagens/UnetDataset/shampoo\results_pos\130_predict_resized.png,65,32,115,266
../Imagens/UnetDataset/shampoo\results_pos\131_predict_resized.png,60,33,115,263
../Imagens/UnetDataset/shampoo\results_pos\132_predict_resized.png,59,43,124,257
../Imagens/UnetDataset/shampoo\results_pos\133_predict_resized.png,59,29,115,238
../Imagens/UnetDataset/shampoo\results_pos\134_predict_resized.png,58,56,112,251
../Imagens/UnetDataset/shampoo\results_pos\135_predict_resized.png,62,34,110,245
../Imagens/UnetDataset/shampoo\results_pos\136_predict_resized.png,64,43,106,239
../Imagens/UnetDataset/shampoo\results_pos\137_predict_resized.png,57,37,112,254
../Imagens/UnetDataset/shampoo\results_pos\138_predict_resized.png,58,66,104,236
../Imagens/UnetDataset/shampoo\results_pos\139_predict_resized.png,65,83,95,216
../Imagens/UnetDataset/shampoo\results_pos\13_predict_resized.png,58,67,136,241
../Imagens/UnetDataset/shampoo\results_pos\140_predict_resized.png,64,54,110,245
../Imagens/UnetDataset/shampoo\results_pos\141_predict_resized.png,71,28,102,228
../Imagens/UnetDataset/shampoo\results_pos\142_predict_resized.png,77,80,88,198
../Imagens/UnetDataset/shampoo\results_pos\143_predict_resized.png,77,49,102,228
../Imagens/UnetDataset/shampoo\results_pos\144_predict_resized.png,87,14,68,283
../Imagens/UnetDataset/shampoo\results_pos\145_predict_resized.png,79,29,65,276
../Imagens/UnetDataset/shampoo\results_pos\146_predict_resized.png,80,14,67,295
