file,x,y,w,h
../Imagens/UnetDataset/caneca\train/label\0.png,32,41,167,202
../Imagens/UnetDataset/caneca\train/label\1.png,112,111,3,1
../Imagens/UnetDataset/caneca\train/label\10.png,47,120,173,171
../Imagens/UnetDataset/caneca\train/label\11.png,158,127,2,1
../Imagens/UnetDataset/caneca\train/label\12.png,130,205,2,1
../Imagens/UnetDataset/caneca\train/label\13.png,35,134,146,145
../Imagens/UnetDataset/caneca\train/label\14.png,29,110,134,127
../Imagens/UnetDataset/caneca\train/label\15.png,139,219,2,2
../Imagens/UnetDataset/caneca\train/label\16.png,108,114,1,1
../Imagens/UnetDataset/caneca\train/label\17.png,60,232,1,1
../Imagens/UnetDataset/caneca\train/label\18.png,32,41,167,202
../Imagens/UnetDataset/caneca\train/label\19.png,112,111,3,1
../Imagens/UnetDataset/caneca\train/label\2.png,14,50,167,190
../Imagens/UnetDataset/caneca\train/label\20.png,14,50,167,190
../Imagens/UnetDataset/caneca\train/label\21.png,69,90,1,4
../Imagens/UnetDataset/caneca\train/label\22.png,144,108,3,1
../Imagens/UnetDataset/caneca\train/label\23.png,29,78,154,174
../Imagens/UnetDataset/caneca\train/label\24.png,35,75,164,174
../Imagens/UnetDataset/caneca\train/label\25.png,0,117,4,5
../Imagens/UnetDataset/caneca\train/label\26.png,45,180,84,8
../Imagens/UnetDataset/caneca\train/label\27.png,35,95,152,157
../Imagens/UnetDataset/caneca\train/label\28.png,47,120,173,171
../Imagens/UnetDataset/caneca\train/label\29.png,158,127,2,1
../Imagens/UnetDataset/caneca\train/label\3.png,69,90,1,4
../Imagens/UnetDataset/caneca\train/label\30.png,130,205,2,1
../Imagens/UnetDataset/caneca\train/label\31.png,35,134,146,145
../Imagens/UnetDataset/caneca\train/label\32.png,29,110,134,127
../Imagens/UnetDataset/caneca\train/label\33.png,139,219,2,2
../Imagens/UnetDataset/caneca\train/label\34.png,108,114,1,1
../Imagens/UnetDataset/caneca\train/label\35.png,60,232,1,1
../Imagens/UnetDataset/caneca\train/label\36.png,32,41,167,202
../Imagens/UnetDataset/caneca\train/label\37.png,112,111,3,1
../Imagens/UnetDataset/caneca\train/label\38.png,14,50,167,190
../Imagens/UnetDataset/caneca\train/label\39.png,69,90,1,4
../Imagens/UnetDataset/caneca\train/label\4.png,144,108,3,1
../Imagens/UnetDataset/caneca\train/label\40.png,144,108,3,1
../Imagens/UnetDataset/caneca\train/label\41.png,29,78,154,174
../Imagens/UnetDataset/caneca\train/label\42.png,35,75,164,174
../Imagens/UnetDataset/caneca\train/label\43.png,0,117,4,5
../Imagens/UnetDataset/caneca\train/label\44.png,45,180,84,8
../Imagens/UnetDataset/caneca\train/label\45.png,35,95,152,157
../Imagens/UnetDataset/caneca\train/label\46.png,47,120,173,171
../Imagens/UnetDataset/caneca\train/label\47.png,158,127,2,1
../Imagens/UnetDataset/caneca\train/label\48.png,130,205,2,1
../Imagens/UnetDataset/caneca\train/label\49.png,35,134,146,145
../Imagens/UnetDataset/caneca\train/label\5.png,29,78,154,174
../Imagens/UnetDataset/caneca\train/label\50.png,29,110,134,127
