file,x,y,w,h
../Imagens/UnetDataset/caneta\train/label\0.png,108,284,7,2
../Imagens/UnetDataset/caneta\train/label\1.png,123,64,33,181
../Imagens/UnetDataset/caneta\train/label\10.png,104,99,26,166
../Imagens/UnetDataset/caneta\train/label\11.png,123,249,1,15
../Imagens/UnetDataset/caneta\train/label\12.png,121,218,1,16
../Imagens/UnetDataset/caneta\train/label\13.png,123,135,1,59
../Imagens/UnetDataset/caneta\train/label\14.png,118,251,1,18
../Imagens/UnetDataset/caneta\train/label\15.png,95,153,1,37
../Imagens/UnetDataset/caneta\train/label\16.png,118,63,41,208
../Imagens/UnetDataset/caneta\train/label\17.png,131,240,9,1
../Imagens/UnetDataset/caneta\train/label\18.png,108,284,7,2
../Imagens/UnetDataset/caneta\train/label\19.png,123,64,33,181
../Imagens/UnetDataset/caneta\train/label\2.png,68,166,1,40
../Imagens/UnetDataset/caneta\train/label\20.png,68,166,1,40
../Imagens/UnetDataset/caneta\train/label\21.png,96,53,39,220
../Imagens/UnetDataset/caneta\train/label\22.png,117,59,32,178
../Imagens/UnetDataset/caneta\train/label\23.png,82,68,43,219
../Imagens/UnetDataset/caneta\train/label\24.png,109,134,2,83
../Imagens/UnetDataset/caneta\train/label\25.png,121,135,1,25
../Imagens/UnetDataset/caneta\train/label\26.png,123,140,1,13
../Imagens/UnetDataset/caneta\train/label\27.png,125,123,1,42
../Imagens/UnetDataset/caneta\train/label\28.png,104,99,26,166
../Imagens/UnetDataset/caneta\train/label\29.png,123,249,1,15
../Imagens/UnetDataset/caneta\train/label\3.png,96,53,39,220
../Imagens/UnetDataset/caneta\train/label\30.png,121,218,1,16
../Imagens/UnetDataset/caneta\train/label\31.png,123,135,1,59
../Imagens/UnetDataset/caneta\train/label\32.png,118,251,1,18
../Imagens/UnetDataset/caneta\train/label\33.png,95,153,1,37
../Imagens/UnetDataset/caneta\train/label\34.png,118,63,41,208
../Imagens/UnetDataset/caneta\train/label\35.png,131,240,9,1
../Imagens/UnetDataset/caneta\train/label\36.png,108,284,7,2
../Imagens/UnetDataset/caneta\train/label\37.png,123,64,33,181
../Imagens/UnetDataset/caneta\train/label\38.png,68,166,1,40
../Imagens/UnetDataset/caneta\train/label\39.png,96,53,39,220
../Imagens/UnetDataset/caneta\train/label\4.png,117,59,32,178
../Imagens/UnetDataset/caneta\train/label\40.png,117,59,32,178
../Imagens/UnetDataset/caneta\train/label\41.png,82,68,43,219
../Imagens/UnetDataset/caneta\train/label\42.png,109,134,2,83
../Imagens/UnetDataset/caneta\train/label\43.png,121,135,1,25
../Imagens/UnetDataset/caneta\train/label\44.png,123,140,1,13
../Imagens/UnetDataset/caneta\train/label\45.png,125,123,1,42
../Imagens/UnetDataset/caneta\train/label\46.png,104,99,26,166
../Imagens/UnetDataset/caneta\train/label\47.png,123,249,1,15
../Imagens/UnetDataset/caneta\train/label\48.png,121,218,1,16
../Imagens/UnetDataset/caneta\train/label\49.png,123,135,1,59
../Imagens/UnetDataset/caneta\train/label\5.png,82,68,43,219
../Imagens/UnetDataset/caneta\train/label\50.png,118,251,1,18
../Imagens/UnetDataset/caneta\train/label\51.png,95,153,1,37
../Imagens/UnetDataset/caneta\train/label\52.png,118,63,41,208
../Imagens/UnetDataset/caneta\train/label\53.png,131,240,9,1
../Imagens/UnetDataset/caneta\train/label\54.png,108,284,7,2
../Imagens/UnetDataset/caneta\train/label\55.png,123,64,33,181
../Imagens/UnetDataset/caneta\train/label\56.png,68,166,1,40
../Imagens/UnetDataset/caneta\train/label\57.png,96,53,39,220
../Imagens/UnetDataset/caneta\train/label\58.png,117,59,32,178
../Imagens/UnetDataset/caneta\train/label\59.png,82,68,43,219
../Imagens/UnetDataset/caneta\train/label\6.png,109,134,2,83
../Imagens/UnetDataset/caneta\train/label\60.png,109,134,2,83
../Imagens/UnetDataset/caneta\train/label\61.png,121,135,1,25
../Imagens/UnetDataset/caneta\train/label\62.png,123,140,1,13
../Imagens/UnetDataset/caneta\train/label\63.png,125,123,1,42
../Imagens/UnetDataset/caneta\train/label\64.png,104,99,26,166
../Imagens/UnetDataset/caneta\train/label\65.png,123,249,1,15
../Imagens/UnetDataset/caneta\train/label\66.png,121,218,1,16
../Imagens/UnetDataset/caneta\train/label\67.png,123,135,1,59
../Imagens/UnetDataset/caneta\train/label\68.png,118,251,1,18
../Imagens/UnetDataset/caneta\train/label\69.png,95,153,1,37
../Imagens/UnetDataset/caneta\train/label\7.png,121,135,1,25
../Imagens/UnetDataset/caneta\train/label\70.png,118,63,41,208
../Imagens/UnetDataset/caneta\train/label\71.png,131,240,9,1
../Imagens/UnetDataset/caneta\train/label\72.png,108,284,7,2
../Imagens/UnetDataset/caneta\train/label\73.png,123,64,33,181
../Imagens/UnetDataset/caneta\train/label\74.png,68,166,1,40
../Imagens/UnetDataset/caneta\train/label\75.png,96,53,39,220
../Imagens/UnetDataset/caneta\train/label\76.png,117,59,32,178
../Imagens/UnetDataset/caneta\train/label\77.png,82,68,43,219
../Imagens/UnetDataset/caneta\train/label\78.png,109,134,2,83
../Imagens/UnetDataset/caneta\train/label\79.png,121,135,1,25
../Imagens/UnetDataset/caneta\train/label\8.png,123,140,1,13
../Imagens/UnetDataset/caneta\train/label\80.png,123,140,1,13
../Imagens/UnetDataset/caneta\train/label\81.png,125,123,1,42
../Imagens/UnetDataset/caneta\train/label\82.png,104,99,26,166
../Imagens/UnetDataset/caneta\train/label\83.png,123,249,1,15
../Imagens/UnetDataset/caneta\train/label\84.png,121,218,1,16
../Imagens/UnetDataset/caneta\train/label\85.png,123,135,1,59
../Imagens/UnetDataset/caneta\train/label\86.png,118,251,1,18
../Imagens/UnetDataset/caneta\train/label\87.png,95,153,1,37
../Imagens/UnetDataset/caneta\train/label\88.png,118,63,41,208
../Imagens/UnetDataset/caneta\train/label\89.png,131,240,9,1
../Imagens/UnetDataset/caneta\train/label\9.png,125,123,1,42
