file,x,y,w,h
../Imagens/UnetDataset/chave\train/label\0.png,81,92,50,100
../Imagens/UnetDataset/chave\train/label\1.png,67,89,53,106
../Imagens/UnetDataset/chave\train/label\10.png,102,160,46,71
../Imagens/UnetDataset/chave\train/label\11.png,88,92,70,103
../Imagens/UnetDataset/chave\train/label\12.png,101,150,1,7
../Imagens/UnetDataset/chave\train/label\13.png,84,112,51,93
../Imagens/UnetDataset/chave\train/label\14.png,86,125,50,85
../Imagens/UnetDataset/chave\train/label\15.png,104,197,2,1
../Imagens/UnetDataset/chave\train/label\16.png,91,128,41,74
../Imagens/UnetDataset/chave\train/label\17.png,96,127,53,93
../Imagens/UnetDataset/chave\train/label\18.png,65,125,50,71
../Imagens/UnetDataset/chave\train/label\19.png,81,92,50,100
../Imagens/UnetDataset/chave\train/label\2.png,97,105,37,71
../Imagens/UnetDataset/chave\train/label\20.png,67,89,53,106
../Imagens/UnetDataset/chave\train/label\21.png,97,105,37,71
../Imagens/UnetDataset/chave\train/label\22.png,87,112,37,69
../Imagens/UnetDataset/chave\train/label\23.png,115,88,56,103
../Imagens/UnetDataset/chave\train/label\24.png,103,108,40,77
../Imagens/UnetDataset/chave\train/label\25.png,90,84,60,115
../Imagens/UnetDataset/chave\train/label\26.png,83,90,57,108
../Imagens/UnetDataset/chave\train/label\27.png,81,33,61,116
../Imagens/UnetDataset/chave\train/label\28.png,83,129,66,37
../Imagens/UnetDataset/chave\train/label\29.png,102,160,46,71
../Imagens/UnetDataset/chave\train/label\3.png,87,112,37,69
../Imagens/UnetDataset/chave\train/label\30.png,88,92,70,103
../Imagens/UnetDataset/chave\train/label\31.png,101,150,1,7
../Imagens/UnetDataset/chave\train/label\32.png,84,112,51,93
../Imagens/UnetDataset/chave\train/label\33.png,86,125,50,85
../Imagens/UnetDataset/chave\train/label\34.png,104,197,2,1
../Imagens/UnetDataset/chave\train/label\35.png,91,128,41,74
../Imagens/UnetDataset/chave\train/label\36.png,96,127,53,93
../Imagens/UnetDataset/chave\train/label\37.png,65,125,50,71
../Imagens/UnetDataset/chave\train/label\38.png,81,92,50,100
../Imagens/UnetDataset/chave\train/label\39.png,67,89,53,106
../Imagens/UnetDataset/chave\train/label\4.png,115,88,56,103
../Imagens/UnetDataset/chave\train/label\40.png,97,105,37,71
../Imagens/UnetDataset/chave\train/label\41.png,87,112,37,69
../Imagens/UnetDataset/chave\train/label\42.png,115,88,56,103
../Imagens/UnetDataset/chave\train/label\43.png,103,108,40,77
../Imagens/UnetDataset/chave\train/label\44.png,90,84,60,115
../Imagens/UnetDataset/chave\train/label\45.png,83,90,57,108
../Imagens/UnetDataset/chave\train/label\46.png,81,33,61,116
../Imagens/UnetDataset/chave\train/label\47.png,83,129,66,37
../Imagens/UnetDataset/chave\train/label\48.png,102,160,46,71
../Imagens/UnetDataset/chave\train/label\49.png,88,92,70,103
../Imagens/UnetDataset/chave\train/label\5.png,103,108,40,77
../Imagens/UnetDataset/chave\train/label\50.png,101,150,1,7
../Imagens/UnetDataset/chave\train/label\51.png,84,112,51,93
../Imagens/UnetDataset/chave\train/label\52.png,86,125,50,85
../Imagens/UnetDataset/chave\train/label\53.png,104,197,2,1
../Imagens/UnetDataset/chave\train/label\54.png,91,128,41,74
../Imagens/UnetDataset/chave\train/label\55.png,96,127,53,93
../Imagens/UnetDataset/chave\train/label\56.png,65,125,50,71
../Imagens/UnetDataset/chave\train/label\57.png,81,92,50,100
../Imagens/UnetDataset/chave\train/label\58.png,67,89,53,106
../Imagens/UnetDataset/chave\train/label\59.png,97,105,37,71
../Imagens/UnetDataset/chave\train/label\6.png,90,84,60,115
../Imagens/UnetDataset/chave\train/label\60.png,87,112,37,69
../Imagens/UnetDataset/chave\train/label\61.png,115,88,56,103
../Imagens/UnetDataset/chave\train/label\62.png,103,108,40,77
../Imagens/UnetDataset/chave\train/label\63.png,90,84,60,115
../Imagens/UnetDataset/chave\train/label\64.png,83,90,57,108
../Imagens/UnetDataset/chave\train/label\65.png,81,33,61,116
../Imagens/UnetDataset/chave\train/label\66.png,83,129,66,37
../Imagens/UnetDataset/chave\train/label\67.png,102,160,46,71
../Imagens/UnetDataset/chave\train/label\68.png,88,92,70,103
../Imagens/UnetDataset/chave\train/label\69.png,101,150,1,7
../Imagens/UnetDataset/chave\train/label\7.png,83,90,57,108
../Imagens/UnetDataset/chave\train/label\70.png,84,112,51,93
../Imagens/UnetDataset/chave\train/label\71.png,86,125,50,85
../Imagens/UnetDataset/chave\train/label\72.png,104,197,2,1
../Imagens/UnetDataset/chave\train/label\73.png,91,128,41,74
../Imagens/UnetDataset/chave\train/label\74.png,96,127,53,93
../Imagens/UnetDataset/chave\train/label\75.png,65,125,50,71
../Imagens/UnetDataset/chave\train/label\76.png,81,92,50,100
../Imagens/UnetDataset/chave\train/label\77.png,67,89,53,106
../Imagens/UnetDataset/chave\train/label\78.png,97,105,37,71
../Imagens/UnetDataset/chave\train/label\79.png,87,112,37,69
../Imagens/UnetDataset/chave\train/label\8.png,81,33,61,116
../Imagens/UnetDataset/chave\train/label\80.png,115,88,56,103
../Imagens/UnetDataset/chave\train/label\81.png,103,108,40,77
../Imagens/UnetDataset/chave\train/label\82.png,90,84,60,115
../Imagens/UnetDataset/chave\train/label\83.png,83,90,57,108
../Imagens/UnetDataset/chave\train/label\84.png,81,33,61,116
../Imagens/UnetDataset/chave\train/label\85.png,83,129,66,37
../Imagens/UnetDataset/chave\train/label\86.png,102,160,46,71
../Imagens/UnetDataset/chave\train/label\87.png,88,92,70,103
../Imagens/UnetDataset/chave\train/label\88.png,101,150,1,7
../Imagens/UnetDataset/chave\train/label\89.png,84,112,51,93
../Imagens/UnetDataset/chave\train/label\9.png,83,129,66,37
../Imagens/UnetDataset/chave\train/label\90.png,86,125,50,85
../Imagens/UnetDataset/chave\train/label\91.png,104,197,2,1
../Imagens/UnetDataset/chave\train/label\92.png,91,128,41,74
../Imagens/UnetDataset/chave\train/label\93.png,96,127,53,93
../Imagens/UnetDataset/chave\train/label\94.png,65,125,50,71
