file,x,y,w,h
../Imagens/UnetDataset/creme_dental\train/label\0.png,64,250,1,8
../Imagens/UnetDataset/creme_dental\train/label\1.png,64,71,76,190
../Imagens/UnetDataset/creme_dental\train/label\10.png,58,67,85,207
../Imagens/UnetDataset/creme_dental\train/label\11.png,128,289,24,1
../Imagens/UnetDataset/creme_dental\train/label\12.png,153,233,1,44
../Imagens/UnetDataset/creme_dental\train/label\13.png,68,185,1,24
../Imagens/UnetDataset/creme_dental\train/label\14.png,80,284,2,1
../Imagens/UnetDataset/creme_dental\train/label\15.png,78,283,1,1
../Imagens/UnetDataset/creme_dental\train/label\16.png,127,267,7,1
../Imagens/UnetDataset/creme_dental\train/label\17.png,86,268,46,1
../Imagens/UnetDataset/creme_dental\train/label\18.png,64,250,1,8
../Imagens/UnetDataset/creme_dental\train/label\19.png,64,71,76,190
../Imagens/UnetDataset/creme_dental\train/label\2.png,80,230,42,1
../Imagens/UnetDataset/creme_dental\train/label\20.png,80,230,42,1
../Imagens/UnetDataset/creme_dental\train/label\21.png,157,246,4,1
../Imagens/UnetDataset/creme_dental\train/label\22.png,105,219,46,1
../Imagens/UnetDataset/creme_dental\train/label\23.png,115,63,62,163
../Imagens/UnetDataset/creme_dental\train/label\24.png,73,35,86,250
../Imagens/UnetDataset/creme_dental\train/label\25.png,32,50,90,222
../Imagens/UnetDataset/creme_dental\train/label\26.png,147,281,5,1
../Imagens/UnetDataset/creme_dental\train/label\27.png,92,279,41,1
../Imagens/UnetDataset/creme_dental\train/label\28.png,58,67,85,207
../Imagens/UnetDataset/creme_dental\train/label\29.png,128,289,24,1
../Imagens/UnetDataset/creme_dental\train/label\3.png,157,246,4,1
../Imagens/UnetDataset/creme_dental\train/label\30.png,153,233,1,44
../Imagens/UnetDataset/creme_dental\train/label\31.png,68,185,1,24
../Imagens/UnetDataset/creme_dental\train/label\32.png,80,284,2,1
../Imagens/UnetDataset/creme_dental\train/label\33.png,78,283,1,1
../Imagens/UnetDataset/creme_dental\train/label\34.png,127,267,7,1
../Imagens/UnetDataset/creme_dental\train/label\35.png,86,268,46,1
../Imagens/UnetDataset/creme_dental\train/label\36.png,64,250,1,8
../Imagens/UnetDataset/creme_dental\train/label\37.png,64,71,76,190
../Imagens/UnetDataset/creme_dental\train/label\38.png,80,230,42,1
../Imagens/UnetDataset/creme_dental\train/label\39.png,157,246,4,1
../Imagens/UnetDataset/creme_dental\train/label\4.png,105,219,46,1
../Imagens/UnetDataset/creme_dental\train/label\40.png,105,219,46,1
../Imagens/UnetDataset/creme_dental\train/label\41.png,115,63,62,163
../Imagens/UnetDataset/creme_dental\train/label\42.png,73,35,86,250
../Imagens/UnetDataset/creme_dental\train/label\43.png,32,50,90,222
../Imagens/UnetDataset/creme_dental\train/label\44.png,147,281,5,1
../Imagens/UnetDataset/creme_dental\train/label\45.png,92,279,41,1
../Imagens/UnetDataset/creme_dental\train/label\46.png,58,67,85,207
../Imagens/UnetDataset/creme_dental\train/label\47.png,128,289,24,1
../Imagens/UnetDataset/creme_dental\train/label\48.png,153,233,1,44
../Imagens/UnetDataset/creme_dental\train/label\49.png,68,185,1,24
../Imagens/UnetDataset/creme_dental\train/label\5.png,115,63,62,163
../Imagens/UnetDataset/creme_dental\train/label\50.png,80,284,2,1
../Imagens/UnetDataset/creme_dental\train/label\51.png,78,283,1,1
../Imagens/UnetDataset/creme_dental\train/label\52.png,127,267,7,1
../Imagens/UnetDataset/creme_dental\train/label\53.png,86,268,46,1
../Imagens/UnetDataset/creme_dental\train/label\54.png,64,250,1,8
../Imagens/UnetDataset/creme_dental\train/label\55.png,64,71,76,190
../Imagens/UnetDataset/creme_dental\train/label\56.png,80,230,42,1
../Imagens/UnetDataset/creme_dental\train/label\57.png,157,246,4,1
../Imagens/UnetDataset/creme_dental\train/label\58.png,105,219,46,1
../Imagens/UnetDataset/creme_dental\train/label\59.png,115,63,62,163
../Imagens/UnetDataset/creme_dental\train/label\6.png,73,35,86,250
../Imagens/UnetDataset/creme_dental\train/label\60.png,73,35,86,250
../Imagens/UnetDataset/creme_dental\train/label\61.png,32,50,90,222
../Imagens/UnetDataset/creme_dental\train/label\62.png,147,281,5,1
../Imagens/UnetDataset/creme_dental\train/label\63.png,92,279,41,1
../Imagens/UnetDataset/creme_dental\train/label\64.png,58,67,85,207
../Imagens/UnetDataset/creme_dental\train/label\65.png,128,289,24,1
../Imagens/UnetDataset/creme_dental\train/label\66.png,153,233,1,44
../Imagens/UnetDataset/creme_dental\train/label\67.png,68,185,1,24
../Imagens/UnetDataset/creme_dental\train/label\68.png,80,284,2,1
../Imagens/UnetDataset/creme_dental\train/label\69.png,78,283,1,1
../Imagens/UnetDataset/creme_dental\train/label\7.png,32,50,90,222
../Imagens/UnetDataset/creme_dental\train/label\70.png,127,267,7,1
../Imagens/UnetDataset/creme_dental\train/label\71.png,86,268,46,1
../Imagens/UnetDataset/creme_dental\train/label\72.png,64,250,1,8
../Imagens/UnetDataset/creme_dental\train/label\73.png,64,71,76,190
../Imagens/UnetDataset/creme_dental\train/label\74.png,80,230,42,1
../Imagens/UnetDataset/creme_dental\train/label\75.png,157,246,4,1
../Imagens/UnetDataset/creme_dental\train/label\76.png,105,219,46,1
../Imagens/UnetDataset/creme_dental\train/label\77.png,115,63,62,163
../Imagens/UnetDataset/creme_dental\train/label\78.png,73,35,86,250
../Imagens/UnetDataset/creme_dental\train/label\79.png,32,50,90,222
../Imagens/UnetDataset/creme_dental\train/label\8.png,147,281,5,1
../Imagens/UnetDataset/creme_dental\train/label\80.png,147,281,5,1
../Imagens/UnetDataset/creme_dental\train/label\81.png,92,279,41,1
../Imagens/UnetDataset/creme_dental\train/label\82.png,58,67,85,207
../Imagens/UnetDataset/creme_dental\train/label\83.png,128,289,24,1
../Imagens/UnetDataset/creme_dental\train/label\84.png,153,233,1,44
../Imagens/UnetDataset/creme_dental\train/label\85.png,68,185,1,24
../Imagens/UnetDataset/creme_dental\train/label\86.png,80,284,2,1
../Imagens/UnetDataset/creme_dental\train/label\87.png,78,283,1,1
../Imagens/UnetDataset/creme_dental\train/label\88.png,127,267,7,1
../Imagens/UnetDataset/creme_dental\train/label\89.png,86,268,46,1
../Imagens/UnetDataset/creme_dental\train/label\9.png,92,279,41,1
