file,x,y,w,h
../Imagens/UnetDataset/faca\train/label\0.png,92,28,95,274
../Imagens/UnetDataset/faca\train/label\1.png,79,32,58,284
../Imagens/UnetDataset/faca\train/label\10.png,100,187,1,20
../Imagens/UnetDataset/faca\train/label\11.png,130,136,1,28
../Imagens/UnetDataset/faca\train/label\12.png,84,154,1,22
../Imagens/UnetDataset/faca\train/label\13.png,115,102,1,9
../Imagens/UnetDataset/faca\train/label\14.png,79,0,44,274
../Imagens/UnetDataset/faca\train/label\15.png,95,55,32,226
../Imagens/UnetDataset/faca\train/label\16.png,126,213,1,12
../Imagens/UnetDataset/faca\train/label\17.png,81,10,60,278
../Imagens/UnetDataset/faca\train/label\18.png,92,28,95,274
../Imagens/UnetDataset/faca\train/label\19.png,79,32,58,284
../Imagens/UnetDataset/faca\train/label\2.png,102,77,2,72
../Imagens/UnetDataset/faca\train/label\20.png,102,77,2,72
../Imagens/UnetDataset/faca\train/label\21.png,124,179,2,66
../Imagens/UnetDataset/faca\train/label\22.png,84,55,46,242
../Imagens/UnetDataset/faca\train/label\23.png,94,45,33,234
../Imagens/UnetDataset/faca\train/label\24.png,158,35,1,9
../Imagens/UnetDataset/faca\train/label\25.png,89,26,41,251
../Imagens/UnetDataset/faca\train/label\26.png,134,234,1,40
../Imagens/UnetDataset/faca\train/label\27.png,111,252,1,31
../Imagens/UnetDataset/faca\train/label\28.png,100,187,1,20
../Imagens/UnetDataset/faca\train/label\29.png,130,136,1,28
../Imagens/UnetDataset/faca\train/label\3.png,124,179,2,66
../Imagens/UnetDataset/faca\train/label\30.png,84,154,1,22
../Imagens/UnetDataset/faca\train/label\31.png,115,102,1,9
../Imagens/UnetDataset/faca\train/label\32.png,79,0,44,274
../Imagens/UnetDataset/faca\train/label\33.png,95,55,32,226
../Imagens/UnetDataset/faca\train/label\34.png,126,213,1,12
../Imagens/UnetDataset/faca\train/label\35.png,81,10,60,278
../Imagens/UnetDataset/faca\train/label\36.png,92,28,95,274
../Imagens/UnetDataset/faca\train/label\37.png,79,32,58,284
../Imagens/UnetDataset/faca\train/label\38.png,102,77,2,72
../Imagens/UnetDataset/faca\train/label\39.png,124,179,2,66
../Imagens/UnetDataset/faca\train/label\4.png,84,55,46,242
../Imagens/UnetDataset/faca\train/label\40.png,84,55,46,242
../Imagens/UnetDataset/faca\train/label\41.png,94,45,33,234
../Imagens/UnetDataset/faca\train/label\42.png,158,35,1,9
../Imagens/UnetDataset/faca\train/label\43.png,89,26,41,251
../Imagens/UnetDataset/faca\train/label\44.png,134,234,1,40
../Imagens/UnetDataset/faca\train/label\45.png,111,252,1,31
../Imagens/UnetDataset/faca\train/label\46.png,100,187,1,20
../Imagens/UnetDataset/faca\train/label\47.png,130,136,1,28
../Imagens/UnetDataset/faca\train/label\48.png,84,154,1,22
../Imagens/UnetDataset/faca\train/label\49.png,115,102,1,9
../Imagens/UnetDataset/faca\train/label\5.png,94,45,33,234
../Imagens/UnetDataset/faca\train/label\50.png,79,0,44,274
../Imagens/UnetDataset/faca\train/label\51.png,95,55,32,226
../Imagens/UnetDataset/faca\train/label\52.png,126,213,1,12
../Imagens/UnetDataset/faca\train/label\53.png,81,10,60,278
../Imagens/UnetDataset/faca\train/label\54.png,92,28,95,274
../Imagens/UnetDataset/faca\train/label\55.png,79,32,58,284
../Imagens/UnetDataset/faca\train/label\56.png,102,77,2,72
../Imagens/UnetDataset/faca\train/label\57.png,124,179,2,66
../Imagens/UnetDataset/faca\train/label\58.png,84,55,46,242
../Imagens/UnetDataset/faca\train/label\59.png,94,45,33,234
../Imagens/UnetDataset/faca\train/label\6.png,158,35,1,9
../Imagens/UnetDataset/faca\train/label\60.png,158,35,1,9
../Imagens/UnetDataset/faca\train/label\61.png,89,26,41,251
../Imagens/UnetDataset/faca\train/label\62.png,134,234,1,40
../Imagens/UnetDataset/faca\train/label\63.png,111,252,1,31
../Imagens/UnetDataset/faca\train/label\64.png,100,187,1,20
../Imagens/UnetDataset/faca\train/label\65.png,130,136,1,28
../Imagens/UnetDataset/faca\train/label\66.png,84,154,1,22
../Imagens/UnetDataset/faca\train/label\67.png,115,102,1,9
../Imagens/UnetDataset/faca\train/label\68.png,79,0,44,274
../Imagens/UnetDataset/faca\train/label\69.png,95,55,32,226
../Imagens/UnetDataset/faca\train/label\7.png,89,26,41,251
../Imagens/UnetDataset/faca\train/label\70.png,126,213,1,12
../Imagens/UnetDataset/faca\train/label\71.png,81,10,60,278
../Imagens/UnetDataset/faca\train/label\72.png,92,28,95,274
../Imagens/UnetDataset/faca\train/label\73.png,79,32,58,284
../Imagens/UnetDataset/faca\train/label\74.png,102,77,2,72
../Imagens/UnetDataset/faca\train/label\75.png,124,179,2,66
../Imagens/UnetDataset/faca\train/label\76.png,84,55,46,242
