file,x,y,w,h
../Imagens/UnetDataset/fio_dental\train/label\0.png,70,122,1,47
../Imagens/UnetDataset/fio_dental\train/label\1.png,33,97,115,131
../Imagens/UnetDataset/fio_dental\train/label\10.png,76,90,85,95
../Imagens/UnetDataset/fio_dental\train/label\11.png,48,97,124,123
../Imagens/UnetDataset/fio_dental\train/label\12.png,55,113,102,100
../Imagens/UnetDataset/fio_dental\train/label\13.png,68,107,86,87
../Imagens/UnetDataset/fio_dental\train/label\14.png,75,99,87,86
../Imagens/UnetDataset/fio_dental\train/label\15.png,50,112,99,103
../Imagens/UnetDataset/fio_dental\train/label\16.png,32,81,104,109
../Imagens/UnetDataset/fio_dental\train/label\17.png,70,122,1,47
../Imagens/UnetDataset/fio_dental\train/label\18.png,33,97,115,131
../Imagens/UnetDataset/fio_dental\train/label\19.png,73,114,79,88
../Imagens/UnetDataset/fio_dental\train/label\2.png,73,114,79,88
../Imagens/UnetDataset/fio_dental\train/label\20.png,51,90,105,121
../Imagens/UnetDataset/fio_dental\train/label\21.png,50,141,80,92
../Imagens/UnetDataset/fio_dental\train/label\22.png,74,94,90,100
../Imagens/UnetDataset/fio_dental\train/label\23.png,50,125,92,105
../Imagens/UnetDataset/fio_dental\train/label\24.png,120,148,3,1
../Imagens/UnetDataset/fio_dental\train/label\25.png,67,170,1,42
../Imagens/UnetDataset/fio_dental\train/label\26.png,51,144,99,98
../Imagens/UnetDataset/fio_dental\train/label\27.png,76,90,85,95
../Imagens/UnetDataset/fio_dental\train/label\28.png,48,97,124,123
../Imagens/UnetDataset/fio_dental\train/label\29.png,55,113,102,100
../Imagens/UnetDataset/fio_dental\train/label\3.png,51,90,105,121
../Imagens/UnetDataset/fio_dental\train/label\30.png,68,107,86,87
../Imagens/UnetDataset/fio_dental\train/label\31.png,75,99,87,86
../Imagens/UnetDataset/fio_dental\train/label\32.png,50,112,99,103
../Imagens/UnetDataset/fio_dental\train/label\33.png,32,81,104,109
../Imagens/UnetDataset/fio_dental\train/label\34.png,70,122,1,47
../Imagens/UnetDataset/fio_dental\train/label\35.png,33,97,115,131
../Imagens/UnetDataset/fio_dental\train/label\36.png,73,114,79,88
../Imagens/UnetDataset/fio_dental\train/label\37.png,51,90,105,121
../Imagens/UnetDataset/fio_dental\train/label\38.png,50,141,80,92
../Imagens/UnetDataset/fio_dental\train/label\39.png,74,94,90,100
../Imagens/UnetDataset/fio_dental\train/label\4.png,50,141,80,92
../Imagens/UnetDataset/fio_dental\train/label\40.png,50,125,92,105
../Imagens/UnetDataset/fio_dental\train/label\41.png,120,148,3,1
../Imagens/UnetDataset/fio_dental\train/label\42.png,67,170,1,42
../Imagens/UnetDataset/fio_dental\train/label\43.png,51,144,99,98
../Imagens/UnetDataset/fio_dental\train/label\44.png,76,90,85,95
../Imagens/UnetDataset/fio_dental\train/label\45.png,48,97,124,123
../Imagens/UnetDataset/fio_dental\train/label\46.png,55,113,102,100
../Imagens/UnetDataset/fio_dental\train/label\47.png,68,107,86,87
../Imagens/UnetDataset/fio_dental\train/label\48.png,75,99,87,86
../Imagens/UnetDataset/fio_dental\train/label\49.png,50,112,99,103
../Imagens/UnetDataset/fio_dental\train/label\5.png,74,94,90,100
../Imagens/UnetDataset/fio_dental\train/label\50.png,32,81,104,109
../Imagens/UnetDataset/fio_dental\train/label\51.png,70,122,1,47
../Imagens/UnetDataset/fio_dental\train/label\52.png,33,97,115,131
../Imagens/UnetDataset/fio_dental\train/label\53.png,73,114,79,88
../Imagens/UnetDataset/fio_dental\train/label\54.png,51,90,105,121
../Imagens/UnetDataset/fio_dental\train/label\55.png,50,141,80,92
../Imagens/UnetDataset/fio_dental\train/label\56.png,74,94,90,100
../Imagens/UnetDataset/fio_dental\train/label\57.png,50,125,92,105
../Imagens/UnetDataset/fio_dental\train/label\58.png,120,148,3,1
../Imagens/UnetDataset/fio_dental\train/label\59.png,67,170,1,42
../Imagens/UnetDataset/fio_dental\train/label\6.png,50,125,92,105
../Imagens/UnetDataset/fio_dental\train/label\60.png,51,144,99,98
../Imagens/UnetDataset/fio_dental\train/label\61.png,76,90,85,95
../Imagens/UnetDataset/fio_dental\train/label\62.png,48,97,124,123
../Imagens/UnetDataset/fio_dental\train/label\63.png,55,113,102,100
../Imagens/UnetDataset/fio_dental\train/label\64.png,68,107,86,87
../Imagens/UnetDataset/fio_dental\train/label\65.png,75,99,87,86
../Imagens/UnetDataset/fio_dental\train/label\66.png,50,112,99,103
../Imagens/UnetDataset/fio_dental\train/label\67.png,32,81,104,109
../Imagens/UnetDataset/fio_dental\train/label\68.png,70,122,1,47
../Imagens/UnetDataset/fio_dental\train/label\69.png,33,97,115,131
../Imagens/UnetDataset/fio_dental\train/label\7.png,120,148,3,1
../Imagens/UnetDataset/fio_dental\train/label\70.png,73,114,79,88
../Imagens/UnetDataset/fio_dental\train/label\71.png,51,90,105,121
../Imagens/UnetDataset/fio_dental\train/label\72.png,50,141,80,92
../Imagens/UnetDataset/fio_dental\train/label\73.png,74,94,90,100
