file,x,y,w,h
../Imagens/UnetDataset/meia\train/label\0.png,30,9,186,292
../Imagens/UnetDataset/meia\train/label\1.png,53,27,109,255
../Imagens/UnetDataset/meia\train/label\10.png,14,53,217,235
../Imagens/UnetDataset/meia\train/label\11.png,13,63,190,198
../Imagens/UnetDataset/meia\train/label\12.png,38,15,128,288
../Imagens/UnetDataset/meia\train/label\13.png,55,49,110,232
../Imagens/UnetDataset/meia\train/label\14.png,40,28,121,259
../Imagens/UnetDataset/meia\train/label\15.png,74,19,114,255
../Imagens/UnetDataset/meia\train/label\16.png,58,126,2,21
../Imagens/UnetDataset/meia\train/label\17.png,145,206,1,19
../Imagens/UnetDataset/meia\train/label\18.png,30,9,186,292
../Imagens/UnetDataset/meia\train/label\19.png,53,27,109,255
../Imagens/UnetDataset/meia\train/label\2.png,72,34,111,260
../Imagens/UnetDataset/meia\train/label\20.png,72,34,111,260
../Imagens/UnetDataset/meia\train/label\21.png,67,65,100,240
../Imagens/UnetDataset/meia\train/label\22.png,48,59,117,241
../Imagens/UnetDataset/meia\train/label\23.png,56,32,136,255
../Imagens/UnetDataset/meia\train/label\24.png,5,66,212,210
../Imagens/UnetDataset/meia\train/label\25.png,57,268,25,2
../Imagens/UnetDataset/meia\train/label\26.png,1,55,188,194
../Imagens/UnetDataset/meia\train/label\27.png,47,39,18,2
../Imagens/UnetDataset/meia\train/label\28.png,14,53,217,235
../Imagens/UnetDataset/meia\train/label\29.png,13,63,190,198
../Imagens/UnetDataset/meia\train/label\3.png,67,65,100,240
../Imagens/UnetDataset/meia\train/label\30.png,38,15,128,288
../Imagens/UnetDataset/meia\train/label\31.png,55,49,110,232
../Imagens/UnetDataset/meia\train/label\32.png,40,28,121,259
../Imagens/UnetDataset/meia\train/label\33.png,74,19,114,255
../Imagens/UnetDataset/meia\train/label\34.png,58,126,2,21
../Imagens/UnetDataset/meia\train/label\35.png,145,206,1,19
../Imagens/UnetDataset/meia\train/label\36.png,30,9,186,292
../Imagens/UnetDataset/meia\train/label\37.png,53,27,109,255
../Imagens/UnetDataset/meia\train/label\38.png,72,34,111,260
../Imagens/UnetDataset/meia\train/label\39.png,67,65,100,240
../Imagens/UnetDataset/meia\train/label\4.png,48,59,117,241
../Imagens/UnetDataset/meia\train/label\40.png,48,59,117,241
../Imagens/UnetDataset/meia\train/label\41.png,56,32,136,255
../Imagens/UnetDataset/meia\train/label\42.png,5,66,212,210
../Imagens/UnetDataset/meia\train/label\43.png,57,268,25,2
../Imagens/UnetDataset/meia\train/label\44.png,1,55,188,194
../Imagens/UnetDataset/meia\train/label\45.png,47,39,18,2
../Imagens/UnetDataset/meia\train/label\46.png,14,53,217,235
../Imagens/UnetDataset/meia\train/label\47.png,13,63,190,198
../Imagens/UnetDataset/meia\train/label\48.png,38,15,128,288
../Imagens/UnetDataset/meia\train/label\49.png,55,49,110,232
../Imagens/UnetDataset/meia\train/label\5.png,56,32,136,255
../Imagens/UnetDataset/meia\train/label\50.png,40,28,121,259
../Imagens/UnetDataset/meia\train/label\51.png,74,19,114,255
../Imagens/UnetDataset/meia\train/label\52.png,58,126,2,21
../Imagens/UnetDataset/meia\train/label\53.png,145,206,1,19
../Imagens/UnetDataset/meia\train/label\54.png,30,9,186,292
../Imagens/UnetDataset/meia\train/label\55.png,53,27,109,255
../Imagens/UnetDataset/meia\train/label\56.png,72,34,111,260
../Imagens/UnetDataset/meia\train/label\57.png,67,65,100,240
../Imagens/UnetDataset/meia\train/label\58.png,48,59,117,241
../Imagens/UnetDataset/meia\train/label\59.png,56,32,136,255
../Imagens/UnetDataset/meia\train/label\6.png,5,66,212,210
../Imagens/UnetDataset/meia\train/label\60.png,5,66,212,210
../Imagens/UnetDataset/meia\train/label\61.png,57,268,25,2
../Imagens/UnetDataset/meia\train/label\62.png,1,55,188,194
../Imagens/UnetDataset/meia\train/label\63.png,47,39,18,2
../Imagens/UnetDataset/meia\train/label\64.png,14,53,217,235
../Imagens/UnetDataset/meia\train/label\65.png,13,63,190,198
../Imagens/UnetDataset/meia\train/label\66.png,38,15,128,288
../Imagens/UnetDataset/meia\train/label\67.png,55,49,110,232
../Imagens/UnetDataset/meia\train/label\68.png,40,28,121,259
../Imagens/UnetDataset/meia\train/label\69.png,74,19,114,255
../Imagens/UnetDataset/meia\train/label\7.png,57,268,25,2
../Imagens/UnetDataset/meia\train/label\70.png,58,126,2,21
../Imagens/UnetDataset/meia\train/label\71.png,145,206,1,19
../Imagens/UnetDataset/meia\train/label\72.png,30,9,186,292
../Imagens/UnetDataset/meia\train/label\73.png,53,27,109,255
../Imagens/UnetDataset/meia\train/label\74.png,72,34,111,260
../Imagens/UnetDataset/meia\train/label\75.png,67,65,100,240
../Imagens/UnetDataset/meia\train/label\76.png,48,59,117,241
../Imagens/UnetDataset/meia\train/label\77.png,56,32,136,255
../Imagens/UnetDataset/meia\train/label\78.png,5,66,212,210
../Imagens/UnetDataset/meia\train/label\79.png,57,268,25,2
../Imagens/UnetDataset/meia\train/label\8.png,1,55,188,194
../Imagens/UnetDataset/meia\train/label\80.png,1,55,188,194
../Imagens/UnetDataset/meia\train/label\81.png,47,39,18,2
../Imagens/UnetDataset/meia\train/label\82.png,14,53,217,235
../Imagens/UnetDataset/meia\train/label\83.png,13,63,190,198
../Imagens/UnetDataset/meia\train/label\84.png,38,15,128,288
../Imagens/UnetDataset/meia\train/label\85.png,55,49,110,232
../Imagens/UnetDataset/meia\train/label\86.png,40,28,121,259
../Imagens/UnetDataset/meia\train/label\87.png,74,19,114,255
../Imagens/UnetDataset/meia\train/label\88.png,58,126,2,21
../Imagens/UnetDataset/meia\train/label\89.png,145,206,1,19
../Imagens/UnetDataset/meia\train/label\9.png,47,39,18,2
