file,x,y,w,h
../Imagens/UnetDataset/perfume\train/label\0.png,39,28,133,216
../Imagens/UnetDataset/perfume\train/label\1.png,69,63,2,1
../Imagens/UnetDataset/perfume\train/label\10.png,50,118,88,147
../Imagens/UnetDataset/perfume\train/label\11.png,49,107,93,161
../Imagens/UnetDataset/perfume\train/label\12.png,178,156,1,69
../Imagens/UnetDataset/perfume\train/label\13.png,63,234,1,21
../Imagens/UnetDataset/perfume\train/label\14.png,53,165,1,38
../Imagens/UnetDataset/perfume\train/label\15.png,57,81,117,184
../Imagens/UnetDataset/perfume\train/label\16.png,53,122,99,157
../Imagens/UnetDataset/perfume\train/label\17.png,44,96,99,156
../Imagens/UnetDataset/perfume\train/label\18.png,39,28,133,216
../Imagens/UnetDataset/perfume\train/label\19.png,69,63,2,1
../Imagens/UnetDataset/perfume\train/label\2.png,47,48,132,210
../Imagens/UnetDataset/perfume\train/label\20.png,47,48,132,210
../Imagens/UnetDataset/perfume\train/label\21.png,30,88,1,43
../Imagens/UnetDataset/perfume\train/label\22.png,58,103,104,160
../Imagens/UnetDataset/perfume\train/label\23.png,33,88,121,196
../Imagens/UnetDataset/perfume\train/label\24.png,76,93,1,12
../Imagens/UnetDataset/perfume\train/label\25.png,58,78,95,160
../Imagens/UnetDataset/perfume\train/label\26.png,119,246,3,1
../Imagens/UnetDataset/perfume\train/label\27.png,39,30,126,223
../Imagens/UnetDataset/perfume\train/label\28.png,50,118,88,147
../Imagens/UnetDataset/perfume\train/label\29.png,49,107,93,161
../Imagens/UnetDataset/perfume\train/label\3.png,30,88,1,43
../Imagens/UnetDataset/perfume\train/label\30.png,178,156,1,69
../Imagens/UnetDataset/perfume\train/label\31.png,63,234,1,21
../Imagens/UnetDataset/perfume\train/label\32.png,53,165,1,38
../Imagens/UnetDataset/perfume\train/label\33.png,57,81,117,184
../Imagens/UnetDataset/perfume\train/label\34.png,53,122,99,157
../Imagens/UnetDataset/perfume\train/label\35.png,44,96,99,156
../Imagens/UnetDataset/perfume\train/label\36.png,39,28,133,216
../Imagens/UnetDataset/perfume\train/label\37.png,69,63,2,1
../Imagens/UnetDataset/perfume\train/label\38.png,47,48,132,210
../Imagens/UnetDataset/perfume\train/label\39.png,30,88,1,43
../Imagens/UnetDataset/perfume\train/label\4.png,58,103,104,160
../Imagens/UnetDataset/perfume\train/label\40.png,58,103,104,160
../Imagens/UnetDataset/perfume\train/label\41.png,33,88,121,196
../Imagens/UnetDataset/perfume\train/label\42.png,76,93,1,12
../Imagens/UnetDataset/perfume\train/label\43.png,58,78,95,160
../Imagens/UnetDataset/perfume\train/label\44.png,119,246,3,1
../Imagens/UnetDataset/perfume\train/label\45.png,39,30,126,223
../Imagens/UnetDataset/perfume\train/label\46.png,50,118,88,147
../Imagens/UnetDataset/perfume\train/label\47.png,49,107,93,161
