file,x,y,w,h
../Imagens/UnetDataset/pilha\train/label\0.png,94,174,1,19
../Imagens/UnetDataset/pilha\train/label\1.png,91,196,1,1
../Imagens/UnetDataset/pilha\train/label\10.png,118,110,1,63
../Imagens/UnetDataset/pilha\train/label\11.png,109,169,1,36
../Imagens/UnetDataset/pilha\train/label\12.png,103,100,1,80
../Imagens/UnetDataset/pilha\train/label\13.png,124,210,1,16
../Imagens/UnetDataset/pilha\train/label\14.png,87,93,32,81
../Imagens/UnetDataset/pilha\train/label\15.png,106,119,46,112
../Imagens/UnetDataset/pilha\train/label\16.png,99,158,1,15
../Imagens/UnetDataset/pilha\train/label\17.png,132,135,6,2
../Imagens/UnetDataset/pilha\train/label\18.png,94,174,1,19
../Imagens/UnetDataset/pilha\train/label\19.png,91,196,1,1
../Imagens/UnetDataset/pilha\train/label\2.png,99,112,31,75
../Imagens/UnetDataset/pilha\train/label\20.png,99,112,31,75
../Imagens/UnetDataset/pilha\train/label\21.png,108,203,7,2
../Imagens/UnetDataset/pilha\train/label\22.png,109,133,1,49
../Imagens/UnetDataset/pilha\train/label\23.png,110,206,4,1
../Imagens/UnetDataset/pilha\train/label\24.png,101,182,1,15
../Imagens/UnetDataset/pilha\train/label\25.png,103,191,1,29
../Imagens/UnetDataset/pilha\train/label\26.png,94,114,31,98
../Imagens/UnetDataset/pilha\train/label\27.png,129,146,30,81
../Imagens/UnetDataset/pilha\train/label\28.png,118,110,1,63
../Imagens/UnetDataset/pilha\train/label\29.png,109,169,1,36
../Imagens/UnetDataset/pilha\train/label\3.png,108,203,7,2
../Imagens/UnetDataset/pilha\train/label\30.png,103,100,1,80
../Imagens/UnetDataset/pilha\train/label\31.png,124,210,1,16
../Imagens/UnetDataset/pilha\train/label\32.png,87,93,32,81
../Imagens/UnetDataset/pilha\train/label\33.png,106,119,46,112
../Imagens/UnetDataset/pilha\train/label\34.png,99,158,1,15
../Imagens/UnetDataset/pilha\train/label\35.png,132,135,6,2
../Imagens/UnetDataset/pilha\train/label\36.png,94,174,1,19
../Imagens/UnetDataset/pilha\train/label\37.png,91,196,1,1
../Imagens/UnetDataset/pilha\train/label\38.png,99,112,31,75
../Imagens/UnetDataset/pilha\train/label\39.png,108,203,7,2
../Imagens/UnetDataset/pilha\train/label\4.png,109,133,1,49
../Imagens/UnetDataset/pilha\train/label\40.png,109,133,1,49
../Imagens/UnetDataset/pilha\train/label\41.png,110,206,4,1
../Imagens/UnetDataset/pilha\train/label\42.png,101,182,1,15
../Imagens/UnetDataset/pilha\train/label\43.png,103,191,1,29
../Imagens/UnetDataset/pilha\train/label\44.png,94,114,31,98
../Imagens/UnetDataset/pilha\train/label\45.png,129,146,30,81
../Imagens/UnetDataset/pilha\train/label\46.png,118,110,1,63
../Imagens/UnetDataset/pilha\train/label\47.png,109,169,1,36
../Imagens/UnetDataset/pilha\train/label\48.png,103,100,1,80
../Imagens/UnetDataset/pilha\train/label\49.png,124,210,1,16
../Imagens/UnetDataset/pilha\train/label\5.png,110,206,4,1
../Imagens/UnetDataset/pilha\train/label\50.png,87,93,32,81
../Imagens/UnetDataset/pilha\train/label\51.png,106,119,46,112
../Imagens/UnetDataset/pilha\train/label\52.png,99,158,1,15
../Imagens/UnetDataset/pilha\train/label\53.png,132,135,6,2
../Imagens/UnetDataset/pilha\train/label\54.png,94,174,1,19
../Imagens/UnetDataset/pilha\train/label\55.png,91,196,1,1
../Imagens/UnetDataset/pilha\train/label\56.png,99,112,31,75
../Imagens/UnetDataset/pilha\train/label\57.png,108,203,7,2
../Imagens/UnetDataset/pilha\train/label\58.png,109,133,1,49
../Imagens/UnetDataset/pilha\train/label\59.png,110,206,4,1
../Imagens/UnetDataset/pilha\train/label\6.png,101,182,1,15
../Imagens/UnetDataset/pilha\train/label\60.png,101,182,1,15
../Imagens/UnetDataset/pilha\train/label\61.png,103,191,1,29
../Imagens/UnetDataset/pilha\train/label\62.png,94,114,31,98
../Imagens/UnetDataset/pilha\train/label\63.png,129,146,30,81
../Imagens/UnetDataset/pilha\train/label\64.png,118,110,1,63
../Imagens/UnetDataset/pilha\train/label\65.png,109,169,1,36
../Imagens/UnetDataset/pilha\train/label\66.png,103,100,1,80
../Imagens/UnetDataset/pilha\train/label\67.png,124,210,1,16
../Imagens/UnetDataset/pilha\train/label\68.png,87,93,32,81
../Imagens/UnetDataset/pilha\train/label\69.png,106,119,46,112
../Imagens/UnetDataset/pilha\train/label\7.png,103,191,1,29
../Imagens/UnetDataset/pilha\train/label\70.png,99,158,1,15
../Imagens/UnetDataset/pilha\train/label\71.png,132,135,6,2
../Imagens/UnetDataset/pilha\train/label\72.png,94,174,1,19
../Imagens/UnetDataset/pilha\train/label\73.png,91,196,1,1
../Imagens/UnetDataset/pilha\train/label\74.png,99,112,31,75
../Imagens/UnetDataset/pilha\train/label\75.png,108,203,7,2
../Imagens/UnetDataset/pilha\train/label\76.png,109,133,1,49
../Imagens/UnetDataset/pilha\train/label\77.png,110,206,4,1
../Imagens/UnetDataset/pilha\train/label\78.png,101,182,1,15
../Imagens/UnetDataset/pilha\train/label\79.png,103,191,1,29
../Imagens/UnetDataset/pilha\train/label\8.png,94,114,31,98
../Imagens/UnetDataset/pilha\train/label\80.png,94,114,31,98
../Imagens/UnetDataset/pilha\train/label\81.png,129,146,30,81
../Imagens/UnetDataset/pilha\train/label\82.png,118,110,1,63
../Imagens/UnetDataset/pilha\train/label\83.png,109,169,1,36
../Imagens/UnetDataset/pilha\train/label\84.png,103,100,1,80
../Imagens/UnetDataset/pilha\train/label\85.png,124,210,1,16
../Imagens/UnetDataset/pilha\train/label\86.png,87,93,32,81
../Imagens/UnetDataset/pilha\train/label\87.png,106,119,46,112
