file,x,y,w,h
../Imagens/UnetDataset/shampoo\train/label\0.png,57,10,114,250
../Imagens/UnetDataset/shampoo\train/label\1.png,54,46,126,264
../Imagens/UnetDataset/shampoo\train/label\10.png,73,162,1,11
../Imagens/UnetDataset/shampoo\train/label\11.png,92,149,1,55
../Imagens/UnetDataset/shampoo\train/label\12.png,171,257,1,11
../Imagens/UnetDataset/shampoo\train/label\13.png,57,210,1,51
../Imagens/UnetDataset/shampoo\train/label\14.png,146,88,1,113
../Imagens/UnetDataset/shampoo\train/label\15.png,150,262,1,11
../Imagens/UnetDataset/shampoo\train/label\16.png,91,309,2,1
../Imagens/UnetDataset/shampoo\train/label\17.png,57,10,114,250
../Imagens/UnetDataset/shampoo\train/label\18.png,54,46,126,264
../Imagens/UnetDataset/shampoo\train/label\19.png,59,48,94,201
../Imagens/UnetDataset/shampoo\train/label\2.png,59,48,94,201
../Imagens/UnetDataset/shampoo\train/label\20.png,123,281,17,1
../Imagens/UnetDataset/shampoo\train/label\21.png,61,79,100,221
../Imagens/UnetDataset/shampoo\train/label\22.png,67,25,107,230
../Imagens/UnetDataset/shampoo\train/label\23.png,144,137,1,95
../Imagens/UnetDataset/shampoo\train/label\24.png,90,312,4,1
../Imagens/UnetDataset/shampoo\train/label\25.png,143,188,1,54
../Imagens/UnetDataset/shampoo\train/label\26.png,104,295,4,1
../Imagens/UnetDataset/shampoo\train/label\27.png,73,162,1,11
../Imagens/UnetDataset/shampoo\train/label\28.png,92,149,1,55
../Imagens/UnetDataset/shampoo\train/label\29.png,171,257,1,11
../Imagens/UnetDataset/shampoo\train/label\3.png,123,281,17,1
../Imagens/UnetDataset/shampoo\train/label\30.png,57,210,1,51
../Imagens/UnetDataset/shampoo\train/label\31.png,146,88,1,113
../Imagens/UnetDataset/shampoo\train/label\32.png,150,262,1,11
../Imagens/UnetDataset/shampoo\train/label\33.png,91,309,2,1
../Imagens/UnetDataset/shampoo\train/label\34.png,57,10,114,250
../Imagens/UnetDataset/shampoo\train/label\35.png,54,46,126,264
../Imagens/UnetDataset/shampoo\train/label\36.png,59,48,94,201
../Imagens/UnetDataset/shampoo\train/label\37.png,123,281,17,1
../Imagens/UnetDataset/shampoo\train/label\38.png,61,79,100,221
../Imagens/UnetDataset/shampoo\train/label\39.png,67,25,107,230
../Imagens/UnetDataset/shampoo\train/label\4.png,61,79,100,221
../Imagens/UnetDataset/shampoo\train/label\40.png,144,137,1,95
../Imagens/UnetDataset/shampoo\train/label\41.png,90,312,4,1
../Imagens/UnetDataset/shampoo\train/label\42.png,143,188,1,54
../Imagens/UnetDataset/shampoo\train/label\43.png,104,295,4,1
../Imagens/UnetDataset/shampoo\train/label\44.png,73,162,1,11
../Imagens/UnetDataset/shampoo\train/label\45.png,92,149,1,55
../Imagens/UnetDataset/shampoo\train/label\46.png,171,257,1,11
../Imagens/UnetDataset/shampoo\train/label\47.png,57,210,1,51
../Imagens/UnetDataset/shampoo\train/label\48.png,146,88,1,113
../Imagens/UnetDataset/shampoo\train/label\49.png,150,262,1,11
../Imagens/UnetDataset/shampoo\train/label\5.png,67,25,107,230
../Imagens/UnetDataset/shampoo\train/label\50.png,91,309,2,1
../Imagens/UnetDataset/shampoo\train/label\51.png,57,10,114,250
../Imagens/UnetDataset/shampoo\train/label\52.png,54,46,126,264
../Imagens/UnetDataset/shampoo\train/label\53.png,59,48,94,201
../Imagens/UnetDataset/shampoo\train/label\54.png,123,281,17,1
../Imagens/UnetDataset/shampoo\train/label\55.png,61,79,100,221
../Imagens/UnetDataset/shampoo\train/label\56.png,67,25,107,230
../Imagens/UnetDataset/shampoo\train/label\57.png,144,137,1,95
../Imagens/UnetDataset/shampoo\train/label\58.png,90,312,4,1
../Imagens/UnetDataset/shampoo\train/label\59.png,143,188,1,54
../Imagens/UnetDataset/shampoo\train/label\6.png,144,137,1,95
../Imagens/UnetDataset/shampoo\train/label\60.png,104,295,4,1
../Imagens/UnetDataset/shampoo\train/label\61.png,73,162,1,11
../Imagens/UnetDataset/shampoo\train/label\62.png,92,149,1,55
../Imagens/UnetDataset/shampoo\train/label\63.png,171,257,1,11
../Imagens/UnetDataset/shampoo\train/label\64.png,57,210,1,51
../Imagens/UnetDataset/shampoo\train/label\65.png,146,88,1,113
../Imagens/UnetDataset/shampoo\train/label\66.png,150,262,1,11
../Imagens/UnetDataset/shampoo\train/label\67.png,91,309,2,1
../Imagens/UnetDataset/shampoo\train/label\68.png,57,10,114,250
../Imagens/UnetDataset/shampoo\train/label\69.png,54,46,126,264
../Imagens/UnetDataset/shampoo\train/label\7.png,90,312,4,1
../Imagens/UnetDataset/shampoo\train/label\70.png,59,48,94,201
../Imagens/UnetDataset/shampoo\train/label\71.png,123,281,17,1
../Imagens/UnetDataset/shampoo\train/label\72.png,61,79,100,221
../Imagens/UnetDataset/shampoo\train/label\73.png,67,25,107,230
../Imagens/UnetDataset/shampoo\train/label\74.png,144,137,1,95
../Imagens/UnetDataset/shampoo\train/label\75.png,90,312,4,1
../Imagens/UnetDataset/shampoo\train/label\76.png,143,188,1,54
../Imagens/UnetDataset/shampoo\train/label\77.png,104,295,4,1
../Imagens/UnetDataset/shampoo\train/label\78.png,73,162,1,11
../Imagens/UnetDataset/shampoo\train/label\79.png,92,149,1,55
../Imagens/UnetDataset/shampoo\train/label\8.png,143,188,1,54
../Imagens/UnetDataset/shampoo\train/label\80.png,171,257,1,11
../Imagens/UnetDataset/shampoo\train/label\81.png,57,210,1,51
../Imagens/UnetDataset/shampoo\train/label\82.png,146,88,1,113
../Imagens/UnetDataset/shampoo\train/label\83.png,150,262,1,11
../Imagens/UnetDataset/shampoo\train/label\84.png,91,309,2,1
../Imagens/UnetDataset/shampoo\train/label\9.png,104,295,4,1
