file,x,y,w,h,classe,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,PCA
../Imagens/UnetDataset/caneca\results_pos\0_predict_resized.png,43,51,149,184,caneca,-1.4358826770931532,-2.8717653541863064,-2.5442935003012312,-2.5442935003012312,-5.0885870006024625,-3.9801761773943847,0.0,21007.737243387648
../Imagens/UnetDataset/caneca\results_pos\100_predict_resized.png,24,92,134,145,caneca,-1.3536854782513246,-2.707370956502649,-0.6357541369763705,-0.6357541369763705,-1.271508273952741,-1.9894396152276952,-0.0,12941.917155437202
../Imagens/UnetDataset/caneca\results_pos\101_predict_resized.png,46,76,148,160,caneca,-1.3977880444906017,-2.7955760889812034,-1.4583488892404692,-1.4583488892404692,-2.9166977784809385,-2.856136933731071,0.0,15295.935783277477
../Imagens/UnetDataset/caneca\results_pos\102_predict_resized.png,19,100,164,174,caneca,-1.3860082022138027,-2.7720164044276054,-2.19424756570576,-2.19424756570576,-4.38849513141152,-3.5802557679195623,0.0,20693.24842184107
../Imagens/UnetDataset/caneca\results_pos\103_predict_resized.png,32,134,128,133,caneca,-1.34261631778438,-2.68523263556876,-1.419343278735839,-1.419343278735839,-2.838686557471678,-2.761959596520219,0.0,8523.405806954295
../Imagens/UnetDataset/caneca\results_pos\104_predict_resized.png,24,94,164,174,caneca,-1.3868333750251693,-2.7736667500503387,-2.183194258414511,-2.183194258414511,-4.366388516829022,-3.5700276334396803,0.0,21417.450477176666
../Imagens/UnetDataset/caneca\results_pos\105_predict_resized.png,57,103,106,139,caneca,-1.4186716679186042,-2.8373433358372084,-2.48002469657281,-2.48002469657281,-4.96004939314562,-3.898696364491414,0.0,2815.1481691949757
../Imagens/UnetDataset/caneca\results_pos\106_predict_resized.png,29,87,129,163,caneca,-1.3880027139382103,-2.77600542787642,-3.0009646678921693,-3.0009646678921693,-6.001929335784339,-4.38896738183038,0.0,5889.855536415663
../Imagens/UnetDataset/caneca\results_pos\107_predict_resized.png,39,159,5,15,caneca,-1.4283364985432312,-2.8566729970864624,-2.7474547874532833,-2.7474547874532833,-5.494909574906567,-4.175791285996515,0.0,5451.90733177987
../Imagens/UnetDataset/caneca\results_pos\108_predict_resized.png,43,51,149,185,caneca,-1.4379414934399486,-2.875882986879897,-2.568609050614361,-2.568609050614361,-5.137218101228722,-4.00655054405431,0.0,21032.69381683146
../Imagens/UnetDataset/caneca\results_pos\109_predict_resized.png,38,66,142,183,caneca,-1.4410904186096234,-2.882180837219247,-2.4933220193981995,-2.4933220193981995,-4.986644038796399,-3.934412438007823,0.0,23199.448201764095
../Imagens/UnetDataset/caneca\results_pos\10_predict_resized.png,35,59,130,169,caneca,-1.4262760394656486,-2.852552078931297,-2.5341842542881263,-2.5341842542881263,-5.068368508576253,-3.960460293753775,0.0,16916.705230771397
../Imagens/UnetDataset/caneca\results_pos\110_predict_resized.png,42,66,135,175,caneca,-1.4401975387759967,-2.8803950775519933,-2.4679141974739007,-2.4679141974739007,-4.9358283949478015,-3.908111736249898,0.0,20363.680732973575
../Imagens/UnetDataset/caneca\results_pos\111_predict_resized.png,46,115,122,140,caneca,-1.4107197161527054,-2.821439432305411,-2.67374374069696,-2.67374374069696,-5.34748748139392,-4.084463456849665,0.0,8524.379469325728
../Imagens/UnetDataset/caneca\results_pos\112_predict_resized.png,50,129,112,126,caneca,-1.404575357008138,-2.809150714016276,-2.643086436772067,-2.643086436772067,-5.286172873544134,-4.047661793780205,0.0,4247.8168063763715
../Imagens/UnetDataset/caneca\results_pos\113_predict_resized.png,46,119,110,124,caneca,-1.403209068852626,-2.806418137705252,-2.7084048761517123,-2.7084048761517123,-5.416809752303425,-4.111613945004338,0.0,2928.4079121420696
../Imagens/UnetDataset/caneca\results_pos\114_predict_resized.png,41,71,136,162,caneca,-1.4096743042765745,-2.8193486085531485,-2.375304894318856,-2.375304894318856,-4.750609788637712,-3.78497919859543,0.0,13868.119195501067
../Imagens/UnetDataset/caneca\results_pos\115_predict_resized.png,48,95,122,148,caneca,-1.410951497073353,-2.821902994146706,-2.3847130652453115,-2.3847130652453115,-4.769426130490623,-3.7956645623186644,0.0,8256.09104135789
../Imagens/UnetDataset/caneca\results_pos\116_predict_resized.png,42,77,130,157,caneca,-1.4074835876112686,-2.814967175222537,-2.344741568531677,-2.344741568531677,-4.689483137063354,-3.7522251561429454,0.0,12149.86722706611
../Imagens/UnetDataset/caneca\results_pos\117_predict_resized.png,45,65,133,175,caneca,-1.4340006992273835,-2.868001398454767,-2.613764140402251,-2.613764140402251,-5.227528280804502,-4.047764839629634,0.0,20028.84106565503
../Imagens/UnetDataset/caneca\results_pos\118_predict_resized.png,35,55,130,173,caneca,-1.4351580278496503,-2.8703160556993006,-2.5736820336457598,-2.5736820336457598,-5.1473640672915195,-4.00884006149541,0.0,17272.00468040329
../Imagens/UnetDataset/caneca\results_pos\119_predict_resized.png,43,67,124,161,caneca,-1.4280498328765872,-2.8560996657531743,-2.6567828760160603,-2.6567828760160603,-5.313565752032121,-4.084832708892647,0.0,14976.210238436799
../Imagens/UnetDataset/caneca\results_pos\11_predict_resized.png,42,69,125,159,caneca,-1.4227422840358963,-2.8454845680717926,-2.632696899457419,-2.632696899457419,-5.265393798914839,-4.0554391834933154,0.0,14779.967514939968
../Imagens/UnetDataset/caneca\results_pos\120_predict_resized.png,28,72,152,157,caneca,-1.4199616410796745,-2.839923282159349,-2.7684495890524845,-2.7684495890524845,-5.536899178104969,-4.188411230132159,0.0,10525.969052227954
../Imagens/UnetDataset/caneca\results_pos\121_predict_resized.png,43,92,139,149,caneca,-1.4011265052312523,-2.8022530104625045,-2.7140607850580167,-2.7140607850580167,-5.4281215701160335,-4.115187290289269,0.0,12204.237840646507
../Imagens/UnetDataset/caneca\results_pos\122_predict_resized.png,40,48,150,169,caneca,-1.4254160831678029,-2.8508321663356058,-2.6837614457391963,-2.6837614457391963,-5.367522891478393,-4.109177528906999,0.0,13007.126294179167
../Imagens/UnetDataset/caneca\results_pos\123_predict_resized.png,25,51,147,185,caneca,-1.4148280261602364,-2.829656052320473,-1.706764331824403,-1.706764331824403,-3.413528663648806,-3.1215923579846394,0.0,18756.52163347081
../Imagens/UnetDataset/caneca\results_pos\124_predict_resized.png,18,37,126,172,caneca,-1.442397069402,-2.884794138804,-1.9317081009727441,-1.9317081009727441,-3.8634162019454883,-3.3741051703747442,0.0,6819.67326119873
