FOLDER,NAME_FILE,CLASS,DATE,OBJECT,BACKGROUND,DAYTIME,INSIDE,FILTER
NormalizedDataset/caneca,gamma_caneca_1_day_inside_chair_1.jpg,caneca,2020_11_15,1,chair,1,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_inside_chair_2.jpg,caneca,2020_11_15,1,chair,1,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_inside_chair_3.jpg,caneca,2020_11_15,1,chair,1,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_inside_pinkChair_1.jpg,caneca,2020_11_15,1,pinkChair,1,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_inside_pinkChair_2.jpg,caneca,2020_11_15,1,pinkChair,1,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_inside_pinkChair_3.jpg,caneca,2020_11_15,1,pinkChair,1,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_inside_plasticBag_1.jpg,caneca,2020_11_15,1,plasticBag,1,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_inside_plasticBag_2.jpg,caneca,2020_11_15,1,plasticBag,1,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_inside_plasticBag_3.jpg,caneca,2020_11_15,1,plasticBag,1,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_outside_chair_1.jpg,caneca,2020_11_15,1,chair,1,0,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_outside_chair_2.jpg,caneca,2020_11_15,1,chair,1,0,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_outside_chair_3.jpg,caneca,2020_11_15,1,chair,1,0,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_outside_pinkChair_1.jpg,caneca,2020_11_15,1,pinkChair,1,0,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_outside_pinkChair_2.jpg,caneca,2020_11_15,1,pinkChair,1,0,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_outside_pinkChair_3.jpg,caneca,2020_11_15,1,pinkChair,1,0,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_outside_plasticBag_1.jpg,caneca,2020_11_15,1,plasticBag,1,0,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_outside_plasticBag_2.jpg,caneca,2020_11_15,1,plasticBag,1,0,gamma
NormalizedDataset/caneca,gamma_caneca_1_day_outside_plasticBag_3.jpg,caneca,2020_11_15,1,plasticBag,1,0,gamma
NormalizedDataset/caneca,gamma_caneca_1_night_inside_chair_1.jpg,caneca,2020_11_15,1,chair,0,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_night_inside_chair_2.jpg,caneca,2020_11_15,1,chair,0,1,gamma
NormalizedDataset/caneca,gamma_caneca_1_night_inside_chair_3.jpg,caneca,2020_11_15,1,chair,0,1,gamma
